Source,Nama Produk
Klik K24,GLIMEPIRIDE DEXA 2MG TABLET (1 Dos isi 50 Tablet)
Klik K24,GLIMEPIRIDE DEXA 2MG TABLET (1 Dos isi 50 Tablet)
Klik K24,RHINOS SR KAPSUL
Klik K24,TREMENZA TABLET
Klik K24,AMOXICILLIN HEXPHARM 500MG KAPLET (1 Dos isi 20 Strip @10 Tablet)
Klik K24,SAGESTAM TETES MATA/ TETES TELINGA
Klik K24,ACLAM 500MG TABLET
Klik K24,OTOPAIN TETES TELINGA 8ML
Klik K24,OTILON TETES TELINGA 8ML
Klik K24,FORUMEN TETES TELINGA 10ML
Klik K24,COLME TETES TELINGA 8ML
Klik K24,ERLAMYCETIN EAR DROP 10ML
Klik K24,OTOLIN EAR DROP 10ML
Klik K24,HUKI COTTON BUDS TUTUP PINK
Klik K24,HUKI COTTON BUDS POT TUTUP BIRU
Klik K24,AMOXSAN 250MG KAPSUL
Klik K24,ABBOTIC XL 500MG TABLET
Klik K24,ETAFLOX 500MG TABLET
Klik K24,ZELAVEL 3MG/ML OTIC SOL 5ML
Klik K24,CEFIXIME NOVELL 100MG KAPSUL
Klik K24,AMICLAV 625MG FC KAPLET
Klik K24,CO AMOXICLAV DEXA 500/125MG FC KAPLET
Klik K24,CO AMOXICLAV MEPRO 625MG FC TABLET
Klik K24,AMOXICILLIN BERNOFARM 500MG CAPL 100S
Klik K24,YUSIMOX 500MG KAPLET
Klik K24,INFATRIM F 960MG TABLET
Klik K24,SUPRAMOX 500MG TABLET
Klik K24,KALMOXILIN 500MG KAPLET
Klik K24,HUKI COTTON BUDS BOX
Klik K24,HUKI COTTON BUDS POT
Klik K24,LIZOR TABLET 500MG
Klik K24,CLABAT F 500MG TABLET
Klik K24,LINDACYN 150MG KAPSUL
Klik K24,LINDACYN 300MG KAPSUL
Klik K24,SANPRIMA SYR
Klik K24,CATAFLAM 50MG TABLET
Klik K24,NEURALGIN RX TABLET
Klik K24,PONSTAN 500MG TABLET
Klik K24,CHARM BODYFIT EXT MAXI WING
Klik K24,CHARM BODY FIT EXTRA COMFORT WING 26CM ISI 8PCS
Klik K24,CHARM BODYFIT EXTRA MAXI WING
Klik K24,CHARM BODYFIT EXT MAXI WING
Klik K24,LAURIER AD SUPER MAXI WING
Klik K24,LAURIER AD SUPER MAXI
Klik K24,LAURIER AD SUPER MAXI NON WING
Klik K24,AVAIL BEAUTY PANTILINER (HIJAU)
Klik K24,CHARM BF EXT MAXI
Klik K24,AVAIL BEAUTY DAY USE (BIRU)
Klik K24,AVAIL BEAUTY NIGHT USE (PINK)
Klik K24,LAURIER RELAX NIGHT WING 35CM
Klik K24,PYTRAMIC 500MG KAPSUL
Klik K24,FEMINAX LANCAR HAID CAIR 15ML (isi 12 sachet)
Klik K24,CHARM BODYFIT EXT MAXI NON WING
Klik K24,DACCO PEMBALUT WANITA BERSALIN&NIFAS M
Klik K24,IFREE PAD TERAPI HANGAT PEREDA NYERI HAID (1 Pack isi 2)
Klik K24,FEMINAX LANCAR HAID CAIR 15ML (1 Dos isi 5 Sachet)
Klik K24,KAPAS PEMBALUT 25G
Klik K24,DUPHASTON 10MG TABLET
Klik K24,ADINDA KAPAS PEMBALUT 50G
Klik K24,KAPAS PEMBALUT ADINDA 25G
Klik K24,KAPAS PEMBALUT ADINDA 500G
Klik K24,DRC KAPAS PEMBALUT 25G
Klik K24,ADINDA KAPAS PEMBALUT 250G
Klik K24,HUSADA KAPAS PEMBALUT 250G
Klik K24,NASACO KAPAS PEMBALUT 50G
Klik K24,HDC KAPAS PEMBALUT 100G
Klik K24,HK KAPAS PEMBALUT 500G
Klik K24,Q LIFE MENSTRUAL CARE SACHET
Klik K24,LACTO B SACHET
Klik K24,PROVE D3 5000IU CHEW TABLET
Klik K24,DOHIXAT 100MG TABLET
Klik K24,KAPAS SELECTION 35G
Klik K24,KAPAS SELECTION 75G
Klik K24,KAPAS SELECTION 50G
Klik K24,NATURE PLUS VITAMIN D3 400IU
Klik K24,NATURE HEALTH VITAMIN E400IU KAPSUL
Klik K24,DARSI KAPSUL (1 Dos isi 12 Kapsul)
Klik K24,HEMAVITON C1000 ORANGE 330ML
Klik K24,MELANOX ES 15GR
Klik K24,MELANOX PREMIUM CR 14G
Klik K24,CETAPHIL MOISTURIZING CREAM 100G
Klik K24,CETAPHIL MOISTURIZING LOTION 200ML
Klik K24,ONE MED KAPAS PEMBALUT 50G
Klik K24,KAPAS PEMBALUT MASA HUSADA INDONESIA 100G
Klik K24,ONE MED KAPAS BOLA BESAR (isi 100)
Klik K24,MARCKS BEDAK BEAUTY POWDER PUTIH 40G
Klik K24,BEDAK BIANG KERINGAT KONICARE 80G
Klik K24,DRAGON SALICYL MENTHOL BEDAK 100G
Klik K24,BEDAK SALICYL CAP GAJAH 100G
Klik K24,ACNE COVER FUN PACK NEXCARE
Klik K24,NOURISH ACNE PLAST FUN PATCH (isi 24 pcs)
Klik K24,VITACID 0.05% GEL 20G
Klik K24,VITACID 0.1% GEL 20G
Klik K24,CETAPHIL DAILY ADVANCE ULTRA HYDRATING LOTION 85G
Klik K24,VITAMIN B1 IPI
Klik K24,MEFINAL 500MG TABLET
Klik K24,AMOXSAN 500MG KAPSUL
Klik K24,SUMAGESIC TABLET
Klik K24,ULTRACAP
Klik K24,SUMBAWA HOT IN CREAM AROMATHERAPY PUMP 120ML
Klik K24,NEO RHEUMACYL EXTRA HOT CR 25G
Klik K24,HANSAPLAST HANGAT KOYO RENCENG
Klik K24,SALONPAS CREAM 30G
Klik K24,SALONPAS KOYO HIJAU
Klik K24,PARAMEX NYERI OTOT TABLET
Klik K24,PILKITA PEGAL LINU TABLET
Klik K24,KIRANTI PEGAL LINU 150ML
Klik K24,HOTIN STRONG TUBE 60G
Klik K24,SUMBAWA HOT IN CR PUMP 120ML
Klik K24,OPPO ANKLE SUPPORT M 1001
Klik K24,OPPO ANKLE SUPPORT S 1001
Klik K24,NEO RHEUMACYL HOT CR 108ML BOTOL
Klik K24,STOP X CR 30G
Klik K24,ARTRODAR TABLET
Klik K24,NUTRAFOR JOINTS PWD VANILA MILK 21G
Klik K24,SYALOX 300P TABLET
Klik K24,NUTRIMAX OSTEOGARD (1 botol isi 30 tablet salut selaput)
Klik K24,BENVIT ETAWA PLATINUM GINSENG JAHE 200G BOX
Klik K24,NEO RHEUMACYL EUCALYPTUS CR 25G
Klik K24,FLEXAMINE CR 30G
Klik K24,FLEXAMINE CR 15G
Klik K24,NEO RHEUMACYL ORALINU 15ML SACH
Klik K24,BLACKMORES CALCIMAG MULTI TABLET (1 Botol isi 60)
Klik K24,LAFALOS CR 20G
Klik K24,HOTIN DCL EMULGEL 30GR
Klik K24,HOTIN DCL EMULGEL 60G
Klik K24,SALONPAS KOYO MERAH HOT (1 Sachet isi 12 lembar)
Klik K24,HOTIN CREAM STRONG 120G TUBE
Klik K24,BECOM C TABLET
Klik K24,TOLAK ANGIN CAIR PLUS MADU 15ML (1 Box isi 12 Sachet)
Klik K24,ANTANGIN CAIR JUNIOR HONEY MINT SACH
Klik K24,MADU TJ MASUK ANGIN 140G
Klik K24,TAMR SARI KURMA 250ML
Klik K24,SAHARA SARI KURMA 330G
Klik K24,AMIRA SARI KURMA 175G
Klik K24,KAROMAH SARI KURMA 250G
Klik K24,SIDOLA MKP 15ML
Klik K24,SIDOLA MKP 30ML
Klik K24,ANTANGIN LOZ HONEY MINT
Klik K24,SIDOLA MKP 100ML
Klik K24,SIDOLA MINYAK TELON 60ML
Klik K24,SIDOLA MINYAK TELON 100ML
Klik K24,V FRESH LANG MINYAK ANGIN AROMATHERAPHY 8ML
Klik K24,SAFE CARE 3 POINT OIL TELON AROMATHERAPY 30ML
Klik K24,SIDOLA MKP 60ML
Klik K24,IBOE NATURAL DRINK JAHE 25G SACH
Klik K24,HOT IN CREAM AROMATHERAPY 60ML
Klik K24,ENTROSTOP HERBAL ANAK SACH
Klik K24,MIXAGRIP HERBAL GREGES 15ML SACHET
Klik K24,BALPIRIK AROMATHERAPY LAVENDER 20G
Klik K24,GAJAH MINYAK TELON 120ML
Klik K24,GAJAH MINYAK TELON 30ML
Klik K24,MY BABY MINYAK TELON PLUS LAVENDER 150ML
Klik K24,BAN LENG YOE 100ML
Klik K24,MINYAK ANGIN V FRESH LAVENDER ROLL ON 8ML
Klik K24,TOLAK ANGIN CARE MINYAK ANGIN AROMATHERAPY 10ML
Klik K24,LASERIN HERBAL SIRUP 30ML
Klik K24,MADU TJ KURMA 150G
Klik K24,MADU TJ KURMA 250G
Klik K24,TOLAK ANGIN TABLET (1 Strip isi 4 Tablet)
Klik K24,CAVIPLEX TABLET
Klik K24,SURBEX Z TABLET (1 Strip isi 6 tablet)
Klik K24,SURBEX T TABLET (1 Strip isi 6 Tablet)
Klik K24,MOTHERS CHOICE PREGNANCY&BREAST FEEDING (1 botol isi 30 kapsul)
Klik K24,PIGEON BREAST PADS HONEYCOMB (1 Dos isi 36)
Klik K24,PIGEON BREAST PAD COMFY FEEL (1 Dos isi 12 Pcs)
Klik K24,FOLAVICAP 400MCG TABLET
Klik K24,STARFOLAT TABLET
Klik K24,ANEMOLAT 1MG TABLET
Klik K24,FOLAVICAP 1000MCG TABLET
Klik K24,SAMBUNGAN ASI / NIPPLE SHIELD JENNY
Klik K24,MOM UUNG SUNFLOWER LECITHIN (1 botol isi 30 kapsul)
Klik K24,NULACTA UNTUK IBU
Klik K24,PIGEON BREAST PAD (1 Dos isi 36 Pcs)
Klik K24,PROCALMA CAPSUL
Klik K24,NUVITA NUTRI FOLIC 1000MCG (1 strip isi 10 tablet)
Klik K24,HERBA ASIMOR 10G SACHET (1 dos isi 10 sachet)
Klik K24,CALCID PEPPERMINT CHEW TABLET
Klik K24,MOLOCO PLUS B12 TABLET
Klik K24,BLACKMORES LACTA WELL (1 botol isi 30 kapsul lunak)
Klik K24,BLACKMORES LACTA WELL (1 botol isi 60 kapsul lunak)
Klik K24,LACTASIN KAPSUL
Klik K24,OBICAL TABLET
Klik K24,PRENAGEN ESENSIS MOKA 360G
Klik K24,PRENAGEN LACTAMOM MOKA 400G
Klik K24,PRENAGEN ESENSIS COKL 180GR
Klik K24,PRENAGEN ESENSIS VAN 180GR
Klik K24,PRENAGEN LACTAMOM VANILA 200GR
Klik K24,PRENAGEN EMESIS PLAIN 200G
Klik K24,PRENAGEN EMESIS COKLAT 200GR
Klik K24,PRENAGEN MOMMY STRAW 200G
Klik K24,PRENAGEN MOMMY COKLAT 400G
Klik K24,PRENAGEN EMESIS COKLAT 400G
Klik K24,OMEPRAZOLE NOVELL 20MG KAPSUL
Klik K24,RANITIDINE DEXA 150MG TABLET
Klik K24,PRAZOTEC 30MG KAPSUL
Klik K24,ULSAFATE SUSP 200ML
Klik K24,ULSAFATE 500MG TABLET
Klik K24,MAGASIDA TABLET (isi 10 tablet)
Klik K24,PROMAG CHEW TABLET (Per Strip isi 10 Tablet)
Klik K24,ACITRAL TABLET
Klik K24,POLYCROL SUSP 100ML
Klik K24,NOVAMAG CHEW TABLET
Klik K24,FARMACROL FORTE TABLET
Klik K24,PLANTACID F SUSP 100ML
Klik K24,PROSOGAN FD 30MG TABLET
Klik K24,RANTIN 150MG TABLET
Klik K24,ULTILOX TABLET (1 Strtip isi 10 Tablet)
Klik K24,ULSAFATE SUSP 100ML
Klik K24,CAPRAZOL
Klik K24,ULMO 20MG TABLET
Klik K24,PROMAG SUSP 10ML SACH 6S
Klik K24,POLYSILANE MAX PAPPERMINT TABLET
Klik K24,ACITRAL SUSP 120ML
Klik K24,ALUMY TABLET
Klik K24,BUFANTACID TABLET (1 Strip isi 10 tablet)
Klik K24,CIMETIDINE HOLI 200MG TABLET
Klik K24,CIMEXOL 200MG KAPLET
Klik K24,CIMETIDINE FM 200MG TABLET
Klik K24,CIMETIDINE PROMED 200MG TABLET
Klik K24,HUFAMAG PLUS SIRUP 60ML
Klik K24,HUFAMAG PLUS TABLET
Klik K24,S OMEVELL 20MG FC TABLET
Klik K24,SUCRALFATE PROMED 500MG/5ML SUSP 100ML
Klik K24,POSTINOR 750MCG TABLET
Klik K24,TESTPACK TEST KEHAMILAN
Klik K24,FOLACOM TABLET
Klik K24,NUTRIMAMA 3 KAPSUL
Klik K24,CALCIFAR TABLET
Klik K24,NUTRIMAMA 1 KAPSUL LUNAK (1 Botol isi 15 Kapsul)
Klik K24,NUTRIMAMA 2 KAPSUL LUNAK
Klik K24,NUTRIMAMA 3 KAPSUL LUNAK
Klik K24,ANELAT TABLET
Klik K24,NUTRIMAMA 2 KAPSUL
Klik K24,VITAMAM 1
Klik K24,NULACTA PLUS KAPSUL
Klik K24,NUTRIMAMA 1 (1 blister isi 10 kapsul lunak)
Klik K24,CALCIFAR PLUS TABLET
Klik K24,AFOLAT TABLET
Klik K24,FOLAMIL GOLD TABLET (1 Botol isi 30 Kapsul)
Klik K24,PRENAGEN EMESIS COKLAT 200GR
Klik K24,PRENAGEN EMESIS VANILA DELIGHT 180G BOX
Klik K24,PRENAGEN EMESIS VELVETY CHOCOLATE 360G BOX
Klik K24,PRENATAL KAPSUL (1 strip isi 10 kapsul)
Klik K24,SENSITIF TEST KEHAMILAN
Klik K24,AMOR TEST KEHAMILAN
Klik K24,PRENATIN DF TABLET
Klik K24,CALSICAL TABLET
Klik K24,SANGOBION BABY DROP 30ML
Klik K24,PRENAGEN EMESIS VELVETY CHOCOLATE 180G BOX
Klik K24,BYE BYE FEVER BAYI
Klik K24,TIGA ANAK MINYAK TELON 90ML
Klik K24,TIGA ANAK MINYAK TELON PLUS 60ML
Klik K24,DRAGON MINYAK TELON 100ML
Klik K24,MY BABY MINYAK TELON PLUS LAVENDER 90ML
Klik K24,MY BABY LOTION TELON PLUS 50G
Klik K24,TERMOREX PATCH BAYI & ANAK
Klik K24,LANG MINYAK TELON PLUS 100ML
Klik K24,MINYAK TELON TRESNOJOYO PLUS LAVENDER 60ML
Klik K24,MINYAK TELON TRESNOJOYO 60ML
Klik K24,MY BABY MINYAK TELON PLUS 60ML
Klik K24,BEBE ROOSIE TELON CR 60G
Klik K24,MINYAK TELON LANG 15ML
Klik K24,MY BABY MINYAK TELON PLUS 90ML
Klik K24,MINYAK TELON LANG 30ML
Klik K24,MINYAK TELON HUKI 60ML
Klik K24,HUKI MINYAK TELON 30ML
Klik K24,MINYAK TELON CAP GAJAH 60ML
Klik K24,MINYAK TELON 3A 60ML
Klik K24,KONICARE MINYAK TELON EXTRA LEMONGRASS 125ML
Klik K24,KONICARE MINYAK TELON EXTRA LEMONGRASS 60ML
Klik K24,HEROCYN BABY POWDER 100G
Klik K24,MY BABY MINYAK TELON PLUS LONG PROTECT 90ML
Klik K24,MY BABY MINYAK TELON PLUS LAVENDER 150ML
Klik K24,MY BABY MINYAK TELON PLUS LONG PROTECT 60ML
Klik K24,PENGUKUR TINGGI BAYI
Klik K24,PIGEON BABY POWDER JASMINE & ROSE 200G
Klik K24,CUSSONS BABY POWDER SOFT&SMOOTH 50G
Klik K24,CUSSONS BABY POWDER MILD&GENTLE 100G
Klik K24,CUSSONS BABY POWDER FRESH & NOURISH 100G
Klik K24,CUSSONS BABY POWDER SOFT&SMOOTH 200G
Klik K24,BISOPROLOL FUMARATE 5MG TABLET NOVELL
Klik K24,CANDESARTAN DEXA 8MG TABLET
Klik K24,JATI BELANDA
Klik K24,BENECHECK PRIME CHOLESTEROL STRIP isi 10 (TUBE)
Klik K24,ENTRASOL ACTIVE VANILA LATTE 350G
Klik K24,ENTRASOL ACTIVE COKLAT 340G
Klik K24,ENTRASOL ACTIVE VANILLA LATTE 160GR
Klik K24,ENTRASOL QUICKSTART CHOCOLATE 30G
Klik K24,GHOLIBAN TEH CELUP DAUN JATI CINA
Klik K24,STATOR 10MG TABLET
Klik K24,COVERAM 5MG/5MG TABLET
Klik K24,COVERAM 10MG/10MG TABLET
Klik K24,COVERAM 5MG/10MG TABLET
Klik K24,COVERAM 10MG/5MG TABLET
Klik K24,ENTRASOL ACTIVE COKLAT LATTE 160G
Klik K24,ENTRASOL GOLD COKLAT 340G BOX
Klik K24,ENTRASOL GOLD VANILA 340G BOX
Klik K24,ENTRASOL GOLD COKLAT 560G BOX
Klik K24,ENTRASOL GOLD VANILA 560G BOX
Klik K24,EFFIENT 3.75MG (1 blister isi 14 tablet)
Klik K24,CEDOCARD RETARD 20MG TABLET
Klik K24,NATTO 10MG TABLET
Klik K24,PLETAAL SR 100MG KAPSUL
Klik K24,PROVE D3 5000IU CHEW TABLET
Klik K24,D3 MORE 5000IU TABLET
Klik K24,WELLNESS CALCIUM CITRATE (1 Botol isi 60 Tablet)
Klik K24,PYRIDAM D3 400IU TABLET
Klik K24,VITAMIN D3 NOVAPHARIN 400IU KAPLET
Klik K24,WELLNESS VITAMIN D3 1000IU SOFTGEL (1 Botol isi 60)
Klik K24,DAILY D3 1000IU TABLET (1 Strip isi 10 Tablet)
Klik K24,FORTIBOOST D3 1000IU CHEW TABLET
Klik K24,CEFIXIME NOVELL 200MG KAPSUL
Klik K24,PEN NEEDLE 31GX5MM
Klik K24,BD MICROFINE 32G 0.23X4MM
Klik K24,FORBETES 500MG TABLET
Klik K24,JARDIANCE 25MG FC TABLET
Klik K24,METFORMIN BERNOFARM 500MG TABLET
Klik K24,DIABEMED PLUS (1 blister isi 12 kapsul)
Klik K24,AMADIAB 1MG TABLET
Klik K24,DIAMICRON 80MG TABLET
Klik K24,GLUFOR 500MG TABLET
Klik K24,GRADIAB 500MG TABLET
Klik K24,GLIABETES 30MG TABLET
Klik K24,JANUMET XR 50/500MG TABLET
Klik K24,GLUBOSE 100MG TABLET
Klik K24,JANUMET 50/1000MG TABLET
Klik K24,DIAFORMIN XR 500MG KAPSUL
Klik K24,FORDISBET (1 botol isi 50 kapsul)
Klik K24,ACARBOSE DEXA 50MG TABLET
Klik K24,JANUMET XR 100/1000MG TABLET
Klik K24,PIOGLITAZONE PRATAPA NIRMALA 15MG TAB 30S
Klik K24,INAFITO FORDIAB BOTOL (isi 30 kapsul)
Klik K24,IBOE DIABETIN KAPSUL
Klik K24,BIO INSULEAF 150ML
Klik K24,NUTREN DIABETES VANILA 400G
Klik K24,JANUVIA 50MG TABLET
Klik K24,JANUVIA 100MG TABLET
Klik K24,FORBETES 850MG TABLET
Klik K24,AMADIAB 4MG TABLET
Klik K24,GLUCOVANCE 500MG/2.5MG TABLET
Klik K24,GLUCOPHAGE XR 500MG TABLET
Klik K24,GLUCOPHAGE 500MG TABLET
Klik K24,FG TROCHES (B)
Klik K24,CETIRIZINE NOVELL 10MG TABLET
Klik K24,INSTO TETES MATA 15ML
Klik K24,INSTO TETES MATA 7.5ML
Klik K24,CENDO XITROL TETES MATA 5ML
Klik K24,ROHTO TETES MATA 7ML
Klik K24,ROHTO COOL TETES MATA 7ML
Klik K24,CENDO XITROL SALEP MATA 3.5G
Klik K24,GELAS CUCI MATA
Klik K24,C VISION EYE DROP 15ML
Klik K24,LERGIO 1MG/ML EYE DROP 5ML
Klik K24,CENDO TOBRO EYE DROP 5ML
Klik K24,CENDO ASTHENOF EYE DROP 5ML
Klik K24,C EYEFRESH EYE DROP 5ML
Klik K24,C EYEFRESH MD 0.6ML
Klik K24,C VASACON A ED 0.6ML MD
Klik K24,CENDO CYCLON EYE DROP 5ML
Klik K24,C ULCORI 0.6ML MD
Klik K24,C GIFLOX MD 0.6ML
Klik K24,C VITROLENTA EYE DROP 5ML
Klik K24,C VERNACEL EYE DROP 5ML
Klik K24,HIALID 0.1% 5ML EYE DROP
Klik K24,CENDO AUGENTONIC EYE DROP 5ML
Klik K24,CENDO AUGENTONIC EYE DROP 15ML
Klik K24,FLAMERGI EYE DROP 5ML
Klik K24,BRAITO 5ML EYE DROP
Klik K24,ROHTO EYE FLUSH 150ML
Klik K24,GENTAMYCIN 3% EYE OINT 3.5G
Klik K24,C CENDRID EYE DROP 5ML
Klik K24,C NONCORT EYE DROP 5ML
Klik K24,ERLAMYCETIN PLUS EYE DROP 10ML
Klik K24,VOMETA FLASH 10MG TABLET
Klik K24,DOMPERIDONE NOVELL 10MG TABLET
Klik K24,PHAROLIT
Klik K24,ANTANGIN JRG ORIGINAL SACH (1 Dos isi 12 Sachet)
Klik K24,ANTANGIN CAIR ORIGINAL (5 PCS/DOS)
Klik K24,ANTANGIN JRG TABLET (1 Strip isi 4 Tablet)
Klik K24,CONTRAMO 50MG TABLET
Klik K24,BALPIRIK MERAH 20G
Klik K24,ANTANGIN GINGER MINT CAIR 15ML (1 dos isi 12 sachet)
Klik K24,DIMENHYDRINATE ERLIMPEX 50MG (1 strip isi 10 tablet)
Klik K24,MINYAK ANGIN LANG 3ML
Klik K24,MINYAK ANGIN LANG 24ML
Klik K24,MINYAK ANGIN LANG 6ML
Klik K24,MINYAK TELON KONICARE 60ML
Klik K24,WAJI WARISAN JAWI MINYAK BALUR 100ML
Klik K24,AMH JAHE MERAH CAIR 15ML SACHET (1 dos isi 12 sachet)
Klik K24,BALPIRIK HIJAU 20G
Klik K24,FRESH CARE VAPOBALM MATCHA 10G
Klik K24,BALPIRIK KAYU PUTIH 20G
Klik K24,MIXAGRIP HERBAL GREGES 15ML SACHET
Klik K24,TOLAK ANGIN CARE MINYAK ANGIN AROMATHERAPY 10ML
Klik K24,CATAFLAM 50MG TABLET
Klik K24,TICAGRELOR DEXA 90MG (1 strip isi 10 tablet)
Klik K24,TICAGRELOR HEXPHARM 90MG (1 blister si 10 tablet)
Klik K24,TIARYT 200MG TABLET
Klik K24,PLAVIX 75MG TABLET
Klik K24,PLATOGRIX 75MG TABLET
Klik K24,RYTMONORM 150MG TABLET
Klik K24,ONE MED ONEDOT DISP ECG ELECTRODE ADULT
Klik K24,ISOPTIN 80MG TABLET
Klik K24,XARELTO 15MG TABLET
Klik K24,KENDARON 200MG TABLET
Klik K24,CEDOCARD 10MG TABLET
Klik K24,CEDOCARD 5MG TABLET
Klik K24,CORDARON 200MG TABLET
Klik K24,CARDIOMIN SOFT KAPSUL
Klik K24,ALERTEN Q25 KAPSUL
Klik K24,WELLNESS CHITOSAN (1 Botol isi 30 Kapsul)
Klik K24,Q TEN 30MG KAPSUL
Klik K24,Q TEN 60MG KAPSUL
Klik K24,CARPIATON 100MG TABLET
Klik K24,Q TEN COM 60MG KAPSUL (1 Strip isi 10 Kapsul)
Klik K24,SPIRONOLACTON DEXA 25MG TABLET
Klik K24,HIBLOK 50MG TABLET
Klik K24,ACEPRESS 12.5MG TABLET
Klik K24,COTEN 100MG KAPSUL
Klik K24,LODIA
Klik K24,IMODIUM 2MG TABLET
Klik K24,NORIT LANG DOS
Klik K24,ENTROSTOP HERBAL 15ML SACHET
Klik K24,INTERZINC 20MG TABLET
Klik K24,HOLIZINC 20MG/5ML SIRUP 60ML
Klik K24,ZINC SULFATE IMFARMIND 20MG TABLET (1 strip isi 10 tablet)
Klik K24,DIAPET ANAK SIRUP 60ML
Klik K24,DIAPET ANAK 10ML SACH
Klik K24,INTERZINC SIRUP 60ML
Klik K24,ZINC SULFATE IF 20MG DISP TAB 100S
Klik K24,ZINC SULFATE COMBIPHAR 10MG/ML DROP 15ML
Klik K24,ENTROSTOP TABLET (1 Strip isi 10 Tablet)
Klik K24,RENALYTE LIQ 200ML
Klik K24,ORALIT 200 SACHET INDOFARMA
Klik K24,ORALIT PHAPROS 200MG SACH (1 Dos isi 100 Sachet)
Klik K24,ORALIT RAMA SACH 100S
Klik K24,PHAROLIT
Klik K24,ZINCPRO DROP 15ML
Klik K24,ATTAPULGITE TRIMAN 600MG (1 dos isi 100 tablet)
Klik K24,NEO DIAFORM TABLET
Klik K24,ATTAPULGITE HOLI 600MG (1 strip isi 10 tablet)
Klik K24,PULAREX (1 strip isi 10 tablet)
Klik K24,ZINCPRO SIRUP 60ML
Klik K24,ANTIDIA TABLET
Klik K24,LOPERAMID KF 2MG TABLET
Klik K24,MIDIX 2MG TABLET
Klik K24,HOLIZINC 20MG DISPERSIBLE TABLET (1 strip isi 10 tablet)
Klik K24,LECOZINC 10MG/5ML SIRUP 60ML
Klik K24,LOPERAMIDE NOVAPHARIN 2MG TABLET
Klik K24,ZIRCUM KID 20MG DISP TABLET
Klik K24,METFORMIN HEXPHARM 500MG TABLET (1 Dos isi 20 Strip @10 Tablet)
Klik K24,PROPYLTHIOURACIL DEXA 100MG TABLET (PTU)
Klik K24,AMLODIPINE HEXPHARM 10MG TABLET (1 Dos isi 10 Strip @10 Tablet)
Klik K24,SOMAN NON AROMA BOTOL 15ML
Klik K24,SOMAN 1
Klik K24,ENTRASOL ACTIVE VANILA LATTE 350G
Klik K24,ARTRODAR TABLET
Klik K24,KLOTAREN 25MG TABLET
Klik K24,ENTRASOL ACTIVE VANILLA LATTE 160GR
Klik K24,ENTRASOL ACTIVE COKLAT 340G
Klik K24,SEA Q SELENIUM ACE SOFTCAP (1 Botol isi 30)
Klik K24,GRATHEOS 50MG TABLET (1 Dos isi 50 Tablet)
Klik K24,ACE MAX 350ML
Klik K24,VOREN GEL 20GR
Klik K24,COXIRON 60MG FC TABLET
Klik K24,ORINOX 120MG FC TABLET
Klik K24,RENADINAC 25MG TABLET
Klik K24,SORICOX 60MG FC TABLET
Klik K24,LACOSIB 60MG FC TABLET
Klik K24,SIKSTOP 120MG FC TABLET
Klik K24,SIKSTOP 60MG FC TABLET
Klik K24,SIKSTOP 90MG FC TABLET
Klik K24,VOLTAREN EC 25MG TABLET
Klik K24,VOLTAREN EC 50MG TABLET
Klik K24,VOLTAREN RETARD 100MG TABLET
Klik K24,VOLTAREN SR 75MG TABLET
Klik K24,ZELONA 50MG TABLET
Klik K24,SEA Q VIT E 400 IU (60S +60S)
Klik K24,SEA Q VIT E 400IU SOFTCAP (1 Botol isi 60)
Klik K24,ATORVASTATIN HEXPHARM 20MG TAB 50S
