Kategori,Nama Produk,text_cleaned,text_stopwords_removed
BBM,Fuel Card Top Up / Isi Ulang Kartu BBM,fuel card top up isi ulang kartu bbm,fuel card up ulang kartu bbm
BBM,Fuel Voucher / Voucher BBM,fuel voucher voucher bbm,fuel bbm
BBM,Emergency Fuel Delivery / Antar BBM Darurat,emergency fuel delivery antar bbm darurat,emergency fuel delivery bbm darurat
BBM,Motorcycle Refuel / Isi BBM Motor,motorcycle refuel isi bbm motor,motorcycle refuel bbm motor
BBM,Car Refuel / Isi BBM Mobil,car refuel isi bbm mobil,car refuel bbm
BBM,Truck Refuel / Isi BBM Truk,truck refuel isi bbm truk,truck refuel bbm truk
BBM,Bus Refuel / Isi BBM Bus,bus refuel isi bbm bus,bus refuel bbm bus
BBM,Boat Refuel / Isi BBM Kapal,boat refuel isi bbm kapal,boat refuel bbm kapal
BBM,Generator Refuel / Isi BBM Genset,generator refuel isi bbm genset,generator refuel bbm genset
BBM,Heavy Equipment Refuel / Isi BBM Alat Berat,heavy equipment refuel isi bbm alat berat,heavy equipment refuel bbm alat berat
BBM,Full Tank Pertalite / Tangki Penuh Pertalite,full tank pertalite tangki penuh pertalite,tank pertalite tangki pertalite
BBM,Full Tank Pertamax / Tangki Penuh Pertamax,full tank pertamax tangki penuh pertamax,tank pertamax tangki pertamax
BBM,Full Tank Diesel / Tangki Penuh Solar,full tank diesel tangki penuh solar,tank diesel tangki
BBM,Partial Refuel / Isi BBM Sebagian,partial refuel isi bbm sebagian,partial refuel bbm
BBM,Fuel Additive / Aditif BBM,fuel additive aditif bbm,fuel additive bbm
BBM,Octane Booster / Penambah Oktan,octane booster penambah oktan,octane booster penambah oktan
BBM,Cetane Booster / Penambah Cetane,cetane booster penambah cetane,cetane booster penambah cetane
BBM,AdBlue Diesel,adblue diesel,adblue diesel
BBM,2T Oil Mix / Oli Campuran 2T,t oil mix oli campuran t,oil oli campuran
BBM,Fuel Promo / Promo BBM,fuel promo promo bbm,fuel bbm
BBM,Fuel Cashback / Cashback BBM,fuel cashback cashback bbm,fuel bbm
BBM,Fuel Membership / Membership BBM,fuel membership membership bbm,fuel membership membership bbm
BBM,Fuel Subscription / Langganan BBM,fuel subscription langganan bbm,fuel subscription langganan bbm
BBM,Corporate Fuel Card / Kartu BBM Perusahaan,corporate fuel card kartu bbm perusahaan,corporate fuel card kartu bbm perusahaan
BBM,Fleet Fuel Management / Manajemen BBM Armada,fleet fuel management manajemen bbm armada,fleet fuel management manajemen bbm armada
BBM,Rest Area Refuel / Isi BBM Rest Area,rest area refuel isi bbm rest area,rest area refuel bbm rest area
BBM,Airport Refuel / Isi BBM Bandara,airport refuel isi bbm bandara,airport refuel bbm bandara
BBM,Port Refuel / Isi BBM Pelabuhan,port refuel isi bbm pelabuhan,port refuel bbm pelabuhan
BBM,Mini Fuel Station / SPBU Mini,mini fuel station spbu mini,fuel station spbu
BBM,Pertashop,pertashop,pertashop
BBM,Private Fuel Station / SPBU Swasta,private fuel station spbu swasta,private fuel station spbu
BBM,Public Fuel Station / SPBU Umum,public fuel station spbu umum,public fuel station spbu
BBM,Self Service Fuel Station / SPBU Layanan Mandiri,self service fuel station spbu layanan mandiri,self service fuel station spbu layanan
BBM,Fleet Fuel Delivery / Antar BBM Armada,fleet fuel delivery antar bbm armada,fleet fuel delivery bbm armada
BBM,EV Motorcycle Charging / Charging Motor Listrik,ev motorcycle charging charging motor listrik,ev motorcycle charging charging motor listrik
BBM,EV Car Charging / Charging Mobil Listrik,ev car charging charging mobil listrik,ev car charging charging listrik
BBM,Fast Charging Member / Fast Charging Member,fast charging member fast charging member,fast charging member fast charging member
BBM,Premium Ultra Charging / Ultra Charging Premium,premium ultra charging ultra charging premium,charging charging
BBM,Fuel Other / BBM Lainnya,fuel other bbm lainnya,fuel other bbm
Transport Umum,Bus Kota / City Bus,bus kota city bus,bus kota city bus
Transport Umum,Bus Rapid Transit (BRT) / Bus Rapid Transit,bus rapid transit brt bus rapid transit,bus rapid transit brt bus rapid transit
Transport Umum,TransJakarta,transjakarta,transjakarta
Transport Umum,Trans Jogja,trans jogja,trans jogja
Transport Umum,Trans Semarang,trans semarang,trans semarang
Transport Umum,Bus Antar Kota / Intercity Bus,bus antar kota intercity bus,bus kota intercity bus
Transport Umum,Bus Antar Provinsi / Interprovincial Bus,bus antar provinsi interprovincial bus,bus provinsi interprovincial bus
Transport Umum,Bus Pariwisata / Tourist Bus,bus pariwisata tourist bus,bus pariwisata tourist bus
Transport Umum,Shuttle Bus / Bus Shuttle,shuttle bus bus shuttle,shuttle bus bus shuttle
Transport Umum,Feeder Bus / Bus Pengumpan,feeder bus bus pengumpan,feeder bus bus pengumpan
Transport Umum,Minibus Umum / Public Minibus,minibus umum public minibus,minibus public minibus
Transport Umum,Mikrotrans / Micro Transit,mikrotrans micro transit,mikrotrans micro transit
Transport Umum,Angkot / Public Van,angkot public van,angkot public van
Transport Umum,Elf Travel / Elf Shuttle,elf travel elf shuttle,elf travel elf shuttle
Transport Umum,Travel Antar Kota / Intercity Shuttle,travel antar kota intercity shuttle,travel kota intercity shuttle
Transport Umum,Ojek Pangkalan / Conventional Motorcycle Taxi,ojek pangkalan conventional motorcycle taxi,ojek pangkalan conventional motorcycle taxi
Transport Umum,Becak / Pedicab,becak pedicab,becak pedicab
Transport Umum,Bentor / Motorized Rickshaw,bentor motorized rickshaw,bentor motorized rickshaw
Transport Umum,Bajaj / Auto Rickshaw,bajaj auto rickshaw,bajaj auto rickshaw
Transport Umum,Delman / Horse Carriage,delman horse carriage,delman horse carriage
Transport Umum,Kereta Ekonomi / Economy Train,kereta ekonomi economy train,kereta ekonomi economy train
Transport Umum,Kereta Bisnis / Business Train,kereta bisnis business train,kereta bisnis business train
Transport Umum,Kereta Eksekutif / Executive Train,kereta eksekutif executive train,kereta eksekutif executive train
Transport Umum,Kereta Lokal / Local Train,kereta lokal local train,kereta local train
Transport Umum,Kereta Bandara / Airport Train,kereta bandara airport train,kereta bandara airport train
Transport Umum,Kereta Cepat / High Speed Rail,kereta cepat high speed rail,kereta high speed rail
Transport Umum,KRL Commuter Line / Commuter Rail,krl commuter line commuter rail,krl commuter line commuter rail
Transport Umum,MRT / Mass Rapid Transit,mrt mass rapid transit,mrt mass rapid transit
Transport Umum,LRT / Light Rail Transit,lrt light rail transit,lrt light rail transit
Transport Umum,Monorel / Monorail,monorel monorail,monorel monorail
Transport Umum,Tram / Tram,tram tram,tram tram
Transport Umum,Subway / Kereta Bawah Tanah,subway kereta bawah tanah,subway kereta tanah
Transport Umum,Ferry Penyeberangan / Passenger Ferry,ferry penyeberangan passenger ferry,ferry penyeberangan passenger ferry
Transport Umum,Kapal Cepat / Fast Boat,kapal cepat fast boat,kapal fast boat
Transport Umum,Water Bus / Bus Air,water bus bus air,water bus bus air
Transport Umum,Taksi Reguler / Regular Taxi,taksi reguler regular taxi,taksi taxi
Transport Umum,Taksi Bandara / Airport Taxi,taksi bandara airport taxi,taksi bandara airport taxi
Transport Umum,Taksi Premium / Premium Taxi,taksi premium premium taxi,taksi taxi
Transport Umum,Shuttle Bandara / Airport Shuttle,shuttle bandara airport shuttle,shuttle bandara airport shuttle
Transport Umum,Shuttle Hotel / Hotel Shuttle,shuttle hotel hotel shuttle,shuttle hotel hotel shuttle
Transport Umum,Shuttle Kampus / Campus Shuttle,shuttle kampus campus shuttle,shuttle kampus campus shuttle
Transport Umum,Shuttle Kantor / Office Shuttle,shuttle kantor office shuttle,shuttle kantor office shuttle
Transport Umum,Park and Ride / Park and Ride,park and ride park and ride,park and ride park and ride
Transport Umum,Tiket Harian / Daily Pass,tiket harian daily pass,tiket harian daily pass
Transport Umum,Tiket Mingguan / Weekly Pass,tiket mingguan weekly pass,tiket mingguan weekly pass
Transport Umum,Tiket Bulanan / Monthly Pass,tiket bulanan monthly pass,tiket bulanan monthly pass
Transport Umum,Tiket Tahunan / Annual Pass,tiket tahunan annual pass,tiket tahunan annual pass
