Source,Kategori,Nama Produk,Extracted,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Shopee,Pakaian Pria,PREMIUM - Celana Jeans Pria Denim Pensil Cowok Hitam Celana Jeans Panjang Pria Slim Fit Premium,celana jeans pensil,premium celana jeans pria denim pensil cowok hitam celana jeans panjang pria slim fit premium,celana jeans denim pensil celana jeans slim,celana jeans denim pensil celana jeans slim,16.0,7.0,9.0,56.2
Shopee,Pakaian Pria,CELANA JEANS PRIA PANJANG DISTRO SOBEK-SOBEK || CELANA SETRET BLACK VIPER ORIGINAL TERLARIS,celana jeans distro,celana jeans pria panjang distro sobeksobek celana setret black viper original terlaris,celana jeans sobeksobek celana setret black viper,celana jeans sobeksobek celana setret black viper,13.0,7.0,6.0,46.2
Shopee,Pakaian Pria,Celana jeans pria loose straight korean style oversize Longgar jeans biru baggy pants celana kulot panjang jeans,celana jeans loose,celana jeans pria loose straight korean style oversize longgar jeans biru baggy pants celana kulot panjang jeans,celana jeans loose straight korean style oversize jeans baggy pants celana kulot jeans,celana jeans loose straight korean style oversize jeans baggy pants celana kulot jeans,17.0,13.0,4.0,23.5
Shopee,Pakaian Pria,KBCollections Celana Panjang Jeans Hitam Pria Sobek Lutut Skinny Ripped Jeans Robek dan Polos,celana jeans ripped,kbcollections celana panjang jeans hitam pria sobek lutut skinny ripped jeans robek dan polos,kbcollections celana jeans sobek lutut skinny ripped jeans,kbcollections celana jeans sobek lutut skinny ripped jeans,14.0,8.0,6.0,42.9
Shopee,Pakaian Pria,PROMO TERBARU JEANS PRIA PANJANG NAOMI SOFT JEANS LEMBUT DAN STREECT/MELAR BISA COD 27-38,celana jeans,promo terbaru jeans pria panjang naomi soft jeans lembut dan streectmelar bisa cod,jeans naomi soft jeans streectmelar,jeans naomi soft jeans streectmelar,14.0,5.0,9.0,64.3
Shopee,Pakaian Pria,Celana jeans pria hitam abu slimfit stretch jins skinny pensil panjang cowok celana denim dewasa laki laki jens grey casual korean style,celana jeans slimfit,celana jeans pria hitam abu slimfit stretch jins skinny pensil panjang cowok celana denim dewasa laki laki jens grey casual korean style,celana jeans abu slimfit stretch jins skinny pensil celana denim jens grey casual korean style,celana jeans abu slimfit stretch jins skinny pensil celana denim jens grey casual korean style,22.0,15.0,7.0,31.8
Shopee,Pakaian Pria,Celana jeans panjang pria Celana kulot jeans pinggang karet Korean style pria loose pants jeans Celana jeans gombrong,celana jeans,celana jeans panjang pria celana kulot jeans pinggang karet korean style pria loose pants jeans celana jeans gombrong,celana jeans celana kulot jeans pinggang korean style loose pants jeans celana jeans gombrong,celana jeans celana kulot jeans pinggang korean style loose pants jeans celana jeans gombrong,18.0,14.0,4.0,22.2
Shopee,Pakaian Pria,Celana Jeans Skinny Slimfit Strech/Celana Jeans Pria Sobek/Celana Jeans Pria Panjang/Celana Jeans Pria Slimfit/Celana Jeans Pria/Celana Jeans Jumbo/Celana Jumbo Pria,celana jeans,celana jeans skinny slimfit strechcelana jeans pria sobekcelana jeans pria panjangcelana jeans pria slimfitcelana jeans priacelana jeans jumbocelana jumbo pria,celana jeans skinny slimfit strechcelana jeans sobekcelana jeans panjangcelana jeans slimfitcelana jeans priacelana jeans jumbocelana,celana jeans skinny slimfit strechcelana jeans sobekcelana jeans panjangcelana jeans slimfitcelana jeans priacelana jeans jumbocelana,20.0,15.0,5.0,25.0
Shopee,Pakaian Pria,Celana Jeans Skinny Slimfit Strech/Celana Jeans Pria Sobek/Celana Jeans Pria Panjang/Celana Jeans Pria Slimfit/Celana Jeans Pria,celana jeans,celana jeans skinny slimfit strechcelana jeans pria sobekcelana jeans pria panjangcelana jeans pria slimfitcelana jeans pria,celana jeans skinny slimfit strechcelana jeans sobekcelana jeans panjangcelana jeans slimfitcelana jeans,celana jeans skinny slimfit strechcelana jeans sobekcelana jeans panjangcelana jeans slimfitcelana jeans,16.0,12.0,4.0,25.0
Shopee,Pakaian Pria,Celana Pendek Pria Cargo Denim 7/8 Borju Polos,celana cargo,celana pendek pria cargo denim borju polos,celana cargo denim borju,celana cargo denim borju,8.0,4.0,4.0,50.0
Shopee,Pakaian Pria,Superego Denim Reguler Pants Snow Light Black SBSF01B,celana jeans,superego denim reguler pants snow light black sbsfb,superego denim pants snow light black sbsfb,superego denim pants snow light black sbsfb,8.0,7.0,1.0,12.5
Shopee,Pakaian Pria,Weird Jeans - Destroyed Denim Black Phantom - Celana Jeans Pria Slimfit Ripped Jeans Stretch,celana jeans,weird jeans destroyed denim black phantom celana jeans pria slimfit ripped jeans stretch,weird jeans destroyed denim black phantom celana jeans slimfit ripped jeans stretch,weird jeans destroyed denim black phantom celana jeans slimfit ripped jeans stretch,15.0,12.0,3.0,20.0
Shopee,Pakaian Pria,M231 Celana Panjang Jeans Denim Pria Dark Grey C1173,celana jeans,m celana panjang jeans denim pria dark grey c,celana jeans denim dark grey,celana jeans denim dark grey,9.0,5.0,4.0,44.4
Shopee,Pakaian Pria,ESROCTE Alvo Pants | Celana Loose Jeans Low-Waist Pria – Hitam – 28-40,celana jeans,esrocte alvo pants celana loose jeans lowwaist pria – hitam –,esrocte alvo pants celana loose jeans lowwaist,esrocte alvo pants celana loose jeans lowwaist,13.0,7.0,6.0,46.2
Shopee,Pakaian Pria,CELANA JEANS PRIA JUMBO,celana jeans,celana jeans pria jumbo,celana jeans,celana jeans,4.0,2.0,2.0,50.0
Shopee,Pakaian Pria,celana jeans pair jins pria ripped jeans pria celana jeans panjang cowok celana jeans pria sobek lutut celana jeans slim fit pria celana style korea pria,celana jeans,celana jeans pair jins pria ripped jeans pria celana jeans panjang cowok celana jeans pria sobek lutut celana jeans slim fit pria celana style korea pria,celana jeans pair jins ripped jeans celana jeans celana jeans sobek lutut celana jeans slim celana style korea,celana jeans pair jins ripped jeans celana jeans celana jeans sobek lutut celana jeans slim celana style korea,26.0,18.0,8.0,30.8
Shopee,Pakaian Pria,Jeans Pria Panjang Kasual Jeans Pria Santai Motif,celana jeans,jeans pria panjang kasual jeans pria santai motif,jeans kasual jeans,jeans kasual jeans,8.0,3.0,5.0,62.5
Shopee,Pakaian Pria,CELANA PENDEK JEANS PRIA MODEL SOBEK,celana jeans,celana pendek jeans pria model sobek,celana jeans sobek,celana jeans sobek,6.0,3.0,3.0,50.0
Shopee,Pakaian Pria,AOI DENIM - KAZE Blue Type II Jeans,celana jeans,aoi denim kaze blue type ii jeans,aoi denim kaze blue ii jeans,aoi denim kaze blue ii jeans,8.0,6.0,2.0,25.0
Shopee,Pakaian Pria,Tonyjack Celana Jeans Pria | Florida Denim Pants Slim Fit Basic Tony Jack Jeans Casual Light Blue,celana jeans,tonyjack celana jeans pria florida denim pants slim fit basic tony jack jeans casual light blue,tonyjack celana jeans florida denim pants slim basic tony jack jeans casual light blue,tonyjack celana jeans florida denim pants slim basic tony jack jeans casual light blue,17.0,14.0,3.0,17.6
Shopee,Pakaian Pria,celana jeans pria hitam slimfit stretch panjang celana denim selvedge dewasa laki laki skinny pensil cowok korean style,celana jeans,celana jeans pria hitam slimfit stretch panjang celana denim selvedge dewasa laki laki skinny pensil cowok korean style,celana jeans slimfit stretch celana denim selvedge skinny pensil korean style,celana jeans slimfit stretch celana denim selvedge skinny pensil korean style,18.0,11.0,7.0,38.9
Shopee,Pakaian Pria,Original Celana Jeans Pria Panjang Denim Standar,celana jeans,original celana jeans pria panjang denim standar,celana jeans denim,celana jeans denim,7.0,3.0,4.0,57.1
Shopee,Pakaian Pria,JACKET KOREA STYLE DENIM MIX LOTTO/JACKET OVERSIZE DENIM PRIA,jacket denim,jacket korea style denim mix lottojacket oversize denim pria,jacket korea style denim lottojacket oversize denim,jacket korea style denim lottojacket oversize denim,9.0,7.0,2.0,22.2
Shopee,Pakaian Pria,MM_STORE Jacket Bomber Jeans Premium Quality Pria elegant Casual Rib coklat size M sampai XXL,jas bomber,mmstore jacket bomber jeans premium quality pria elegant casual rib coklat size m sampai xxl,mmstore jacket bomber jeans quality elegant casual rib coklat,mmstore jacket bomber jeans quality elegant casual rib coklat,15.0,9.0,6.0,40.0
Shopee,Pakaian Pria,MM.STORE JACKET JEANS PRIA POLOSAN ELEGAN SOBEK NEW COLECTION JACKET DENIM,jacket jeans,mmstore jacket jeans pria polosan elegan sobek new colection jacket denim,mmstore jacket jeans polosan elegan sobek colection jacket denim,mmstore jacket jeans polos elegan sobek colection jacket denim,11.0,9.0,2.0,18.2
Shopee,Pakaian Pria,LGS - Celana - Jeans Panjang Pria - Slim Fit - Washed Detail - JSF.326.P027.A236.C,celana jeans,lgs celana jeans panjang pria slim fit washed detail jsfpac,lgs celana jeans slim washed detail jsfpac,lgs celana jeans slim washed detail jsfpac,15.0,7.0,8.0,53.3
Shopee,Pakaian Pria,Celana Jeans Jumbo Pria Bahan Melar/Stretch Big Size,celana jeans,celana jeans jumbo pria bahan melarstretch big size,celana jeans melarstretch big,celana jeans melarstretch big,8.0,4.0,4.0,50.0
Shopee,Pakaian Pria,celana jeans pria panjang baggy pants straight loosefit celana denim cowok keren longgar jins causal dewasa laki laki jens jumbo terbaru korean style,celana jeans,celana jeans pria panjang baggy pants straight loosefit celana denim cowok keren longgar jins causal dewasa laki laki jens jumbo terbaru korean style,celana jeans baggy pants straight loosefit celana denim jins causal jens korean style,celana jeans baggy pants straight loosefit celana denim jins causal jens korean style,23.0,13.0,10.0,43.5
Shopee,Pakaian Pria,Weird Jeans - Blue Cracked Z11 - Celana Jeans Panjang Pria Stretch Polos Slimfit,celana jeans,weird jeans blue cracked z celana jeans panjang pria stretch polos slimfit,weird jeans blue cracked celana jeans stretch slimfit,weird jeans blue cracked celana jeans stretch slimfit,14.0,8.0,6.0,42.9
Shopee,Pakaian Pria,MC WISCER Celana Pendek Pria Jeans Terbaru Warna Tidak Luntur Pola Skinny Bahan Denim,celana jeans,mc wiscer celana pendek pria jeans terbaru warna tidak luntur pola skinny bahan denim,mc wiscer celana jeans luntur pola skinny denim,mc wiscer celana jeans luntur pola skinny denim,14.0,8.0,6.0,42.9
Shopee,Pakaian Pria,Celana Jeans/Celana Skinny Slimfit/Celana Strech/Celana Pria Sobek/Celana panjang Pria/Celana Jeans Distro/Celana Jeans Distro Original,celana jeans,celana jeanscelana skinny slimfitcelana strechcelana pria sobekcelana panjang priacelana jeans distrocelana jeans distro original,celana jeanscelana skinny slimfitcelana strechcelana sobekcelana priacelana jeans distrocelana jeans,celana jeanscelana skinny slimfitcelana strechcelana sobekcelana priacelana jeans distrocelana jeans,14.0,10.0,4.0,28.6
Shopee,Pakaian Pria,Celana Jeans/Celana Skinny Slimfit/Celana Strech/Celana Pria Sobek/Celana panjang Pria/Celana Jeans Distro/Celana Jeans High Waist,celana jeans,celana jeanscelana skinny slimfitcelana strechcelana pria sobekcelana panjang priacelana jeans distrocelana jeans high waist,celana jeanscelana skinny slimfitcelana strechcelana sobekcelana priacelana jeans distrocelana jeans high waist,celana jeanscelana skinny slimfitcelana strechcelana sobekcelana priacelana jeans distrocelana jeans high waist,14.0,12.0,2.0,14.3
Shopee,Pakaian Pria,CELANA JEANS RIPPED SOBEK PRIA FASHION SIZE 27-33 READY BOSKUHH SOBEK LUTUT ADA,celana jeans ripped,celana jeans ripped sobek pria fashion size ready boskuhh sobek lutut ada,celana jeans ripped sobek boskuhh sobek lutut,celana jeans ripped sobek boskuhh sobek lutut,13.0,7.0,6.0,46.2
Shopee,Pakaian Pria,MC WISCER Celana Panjang Jeans Pria Model Skinny Stretch Bahan Denim Jeans Warna Tidak Luntur Nyaman,celana jeans,mc wiscer celana panjang jeans pria model skinny stretch bahan denim jeans warna tidak luntur nyaman,mc wiscer celana jeans skinny stretch denim jeans luntur,mc wiscer celana jeans skinny stretch denim jeans luntur,16.0,9.0,7.0,43.8
Shopee,Pakaian Pria,SALE ~ Celana pendek jeans distro ~ Celana pendek pria sobek sobek ~ Celana pendek murah,celana jeans,sale celana pendek jeans distro celana pendek pria sobek sobek celana pendek murah,celana jeans celana sobek sobek celana,celana jeans celana sobek sobek celana,16.0,6.0,10.0,62.5
Shopee,Pakaian Pria,Celana Pendek Pria bahan Jeans Robek Slim-fitting Casual Celana Distro Motif SObek Dewasa Cowok Keren Premium,celana jeans,celana pendek pria bahan jeans robek slimfitting casual celana distro motif sobek dewasa cowok keren premium,celana jeans slimfitting casual celana sobek,celana jeans slimfitting casual celana sobek,16.0,6.0,10.0,62.5
Shopee,Pakaian Pria,Celana Chino Panjang Slimfit Premium Panjang Pria Celana Chinos Cinos Cino Panjang Slim Fit Celana Chino,celana chino,celana chino panjang slimfit premium panjang pria celana chinos cinos cino panjang slim fit celana chino,celana chino slimfit celana chinos cinos cino slim celana chino,celana chino slimfit celana chinos cinos cino slim celana chino,16.0,10.0,6.0,37.5
Shopee,Pakaian Pria,"Celana Jeans Cutbray/Bootcut Fallas Pria, Size 27/32",celana jeans,celana jeans cutbraybootcut fallas pria size,celana jeans cutbraybootcut fallas,celana jeans cutbraybootcut fallas,7.0,4.0,3.0,42.9
Shopee,Pakaian Pria,Superego Denim Reguler Pants Snow Light Blue SBSF02D,celana jeans,superego denim reguler pants snow light blue sbsfd,superego denim pants snow light blue sbsfd,superego denim pants snow light blue sbsfd,8.0,7.0,1.0,12.5
Shopee,Pakaian Pria,JAKET BOOMBER JEANS KERAH RIB KARET BIOWOS NAVY RESELETING POLOS UNISEX KASUAL FASHION COWOK,jaket bomber,jaket boomber jeans kerah rib karet biowos navy reseleting polos unisex kasual fashion cowok,jaket boomber jeans kerah rib biowos navy reseleting unisex kasual,jaket boomber jeans kerah rib biowos navy reseleting unisex kasual,14.0,10.0,4.0,28.6
Shopee,Pakaian Pria,Celana Pendek Jeans Pria Motif Sobek Bordir Terbaru | Celana Pendek Sobek Pria Terlaris,celana jeans,celana pendek jeans pria motif sobek bordir terbaru celana pendek sobek pria terlaris,celana jeans sobek bordir celana sobek,celana jeans sobek bordir celana sobek,14.0,6.0,8.0,57.1
Shopee,Pakaian Pria,"Celana Panjang Jeans Hitam Original BOSS Standar Stretch - Regular Fit, Stretch Denim ORIGINAL",celana jeans,celana panjang jeans hitam original boss standar stretch regular fit stretch denim original,celana jeans boss stretch stretch denim,celana jeans boss stretch stretch denim,14.0,6.0,8.0,57.1
Shopee,Pakaian Pria,JACKET JEANS CASUAL PRIA MODEL BARU SWAG HITAM PEKAT SOBEK KEKINIAN EBLEM BORDIRAN/PRINTING,jacket jeans,jacket jeans casual pria model baru swag hitam pekat sobek kekinian eblem bordiranprinting,jacket jeans casual swag pekat sobek kekinian eblem bordiranprinting,jacket jeans casual swag pekat sobek kini eblem bordiranprinting,13.0,9.0,4.0,30.8
Shopee,Pakaian Pria,celana jeans panjang distro abu model sobek kekinian,celana jeans,celana jeans panjang distro abu model sobek kekinian,celana jeans abu sobek kekinian,celana jeans abu sobek kini,8.0,5.0,3.0,37.5
Shopee,Pakaian Pria,JB Boss Delta Regular Fit Celana Panjang Jeans Denim Stretch (All Varians),celana jeans,jb boss delta regular fit celana panjang jeans denim stretch all varians,jb boss delta celana jeans denim stretch varians,jb boss delta celana jeans denim stretch varians,12.0,8.0,4.0,33.3
Shopee,Pakaian Pria,Celana jeans panjang pria WERCO original model terbaru,celana jeans,celana jeans panjang pria werco original model terbaru,celana jeans werco,celana jeans werco,8.0,3.0,5.0,62.5
Shopee,Pakaian Pria,"Celana jeans pendek pria original lugarry, celana jeans pendek pria, fashion pria, pakaian pria, denim fashion, denim",celana jeans,celana jeans pendek pria original lugarry celana jeans pendek pria fashion pria pakaian pria denim fashion denim,celana jeans lugarry celana jeans pakaian denim denim,celana jeans lugarry celana jeans pakai denim denim,17.0,8.0,9.0,52.9
Shopee,Pakaian Pria,Celana Panjang Jeans Pria Street Skiny Terbaru,celana jeans,celana panjang jeans pria street skiny terbaru,celana jeans street skiny,celana jeans street skiny,7.0,4.0,3.0,42.9
Shopee,Pakaian Pria,celana jeans pria hitam Basic Baggy Pants korea Style Oversize Loose Jeans Standar Reguler Jeans Pria Premium celana jeans terbaru Jumbo jins boyfriend jeans celana jeans kulot pria import celana jeans kaki lebar pria keren celana jeans stretch promo,celana jeans,celana jeans pria hitam basic baggy pants korea style oversize loose jeans standar reguler jeans pria premium celana jeans terbaru jumbo jins boyfriend jeans celana jeans kulot pria import celana jeans kaki lebar pria keren celana jeans stretch promo,celana jeans basic baggy pants korea style oversize loose jeans jeans celana jeans jins boyfriend jeans celana jeans kulot celana jeans kaki celana jeans stretch,celana jeans basic baggy pants korea style oversize loose jeans jeans celana jeans jins boyfriend jeans celana jeans kulot celana jeans kaki celana jeans stretch,39.0,25.0,14.0,35.9
Shopee,Pakaian Pria,CELANA JEANS PRIA BLACK WASHED SKINNY STRETCH SOFT JEANS NEW BARU,celana jeans,celana jeans pria black washed skinny stretch soft jeans new baru,celana jeans black washed skinny stretch soft jeans,celana jeans black washed skinny stretch soft jeans,11.0,8.0,3.0,27.3
Shopee,Pakaian Pria,ZEON - CELANA DENIM PRIA SELVDEGE ACCENT 15 OZ RAW DENIM BLACK INDIGO,celana denim,zeon celana denim pria selvdege accent oz raw denim black indigo,zeon celana denim selvdege accent oz raw denim black indigo,zeon celana denim selvdege accent oz raw denim black indigo,13.0,10.0,3.0,23.1
Shopee,Pakaian Pria,JAKET JEANS PRIA DILLAN KERAH COKLAT MODEL COWOK TEMPEL SOBEK BORDIR EMBLEM TERBARU TERLARIS KOREA STYLE MEMPIS LEPIS ATASAN PRIA CASUAL DISTRO,jaket jeans,jaket jeans pria dillan kerah coklat model cowok tempel sobek bordir emblem terbaru terlaris korea style mempis lepis atasan pria casual distro,jaket jeans dillan kerah coklat tempel sobek bordir emblem korea style mempis lepis atasan casual,jaket jeans dillan kerah coklat tempel sobek bordir emblem korea style pis lepis atas casual,22.0,15.0,7.0,31.8
Shopee,Pakaian Pria,Celana Jeans Slimfit Stretch Softjeans Panjang Bahan Denim Ngaret Bisa COD,celana jeans,celana jeans slimfit stretch softjeans panjang bahan denim ngaret bisa cod,celana jeans slimfit stretch softjeans denim ngaret,celana jeans slimfit stretch softjeans denim ngaret,11.0,7.0,4.0,36.4
Shopee,Pakaian Pria,JAKET JEANS PRIA HIPHOP TERBARU LEpIS STYLE KOREA SOBEK TEMPE3 L COWOK DENIM ATASAN PRIA EMBLEM EIGHTEEN,jaket jeans,jaket jeans pria hiphop terbaru lepis style korea sobek tempe l cowok denim atasan pria emblem eighteen,jaket jeans hiphop lepis style korea sobek tempe denim atasan emblem eighteen,jaket jeans hiphop lepis style korea sobek tempe denim atas emblem eighteen,17.0,12.0,5.0,29.4
Shopee,Pakaian Pria,Celana Panjang Jeans Snow Black Hitam Blue Distro Bandung Pria Lelaki Laki Dewasa Pensil Skinny Stretch Street Strit Karet Model Terbaru 2023 / Jins Melar / Cowok / Murah / Gaul Keren,celana jeans,celana panjang jeans snow black hitam blue distro bandung pria lelaki laki dewasa pensil skinny stretch street strit karet model terbaru jins melar cowok murah gaul keren,celana jeans snow black blue bandung pensil skinny stretch street strit jins gaul,celana jeans snow black blue bandung pensil skinny stretch street strit jins gaul,32.0,13.0,19.0,59.4
Shopee,Pakaian Pria,DGM Fashion Celana Jeans Hitam Pensil Panjang Pria Jeans Skinny Hitam Jeans Hitam Jeans Polos 2000,celana jeans,dgm fashion celana jeans hitam pensil panjang pria jeans skinny hitam jeans hitam jeans polos,dgm celana jeans pensil jeans skinny jeans jeans,dgm celana jeans pensil jeans skinny jeans jeans,16.0,8.0,8.0,50.0
Shopee,Pakaian Pria,celana jeans pria slim fit stretch skinny standar biru muda pencil soft jeans cowok laki laki dewasa keren,celana jeans,celana jeans pria slim fit stretch skinny standar biru muda pencil soft jeans cowok laki laki dewasa keren,celana jeans slim stretch skinny pencil soft jeans,celana jeans slim stretch skinny pencil soft jeans,18.0,8.0,10.0,55.6
Shopee,Pakaian Pria,JAKET JEANS PRIA MODEL TERBARU SOBEK BIOTIN MODEL POLOS ROBEK JAKET MURAH ATSAN COWOK DAN WANITA JEANS BANDUNG LEPIS TEMPEL EMBLEM KANCING,jaket jeans,jaket jeans pria model terbaru sobek biotin model polos robek jaket murah atsan cowok dan wanita jeans bandung lepis tempel emblem kancing,jaket jeans sobek biotin jaket atsan jeans bandung lepis tempel emblem kancing,jaket jeans sobek biotin jaket atsan jeans bandung lepis tempel emblem kancing,22.0,12.0,10.0,45.5
Shopee,Pakaian Pria,MC WISCER Celana Pendek Pria Jeans Denim Polos Model Skinny Dewasa Warna Tidak Luntur Bahan Denim,celana jeans,mc wiscer celana pendek pria jeans denim polos model skinny dewasa warna tidak luntur bahan denim,mc wiscer celana jeans denim skinny luntur denim,mc wiscer celana jeans denim skinny luntur denim,16.0,8.0,8.0,50.0
Shopee,Pakaian Pria,celana jeans panjang pria original lugarry fashion distro model sobek cakar standar reguler jeans original lugarry panjang cowok terbaru,celana jeans,celana jeans panjang pria original lugarry fashion distro model sobek cakar standar reguler jeans original lugarry panjang cowok terbaru,celana jeans lugarry sobek cakar jeans lugarry,celana jeans lugarry sobek cakar jeans lugarry,19.0,7.0,12.0,63.2
Shopee,Pakaian Pria,EMOLINE Jaket Jeans Pria Men Denim Tebal Ripped Sobek All Variant,jaket jeans,emoline jaket jeans pria men denim tebal ripped sobek all variant,emoline jaket jeans men denim ripped sobek,emoline jaket jeans men denim ripped sobek,11.0,7.0,4.0,36.4
Shopee,Pakaian Pria,celana jeans pendek orisinal pria / celana pendek pria / jeans pendek termurah,celana jeans,celana jeans pendek orisinal pria celana pendek pria jeans pendek termurah,celana jeans celana jeans,celana jeans celana jeans,13.0,4.0,9.0,69.2
Shopee,Pakaian Pria,Celana Jeans Pria Standart Panjang Reguller Size 27-38,celana jeans,celana jeans pria standart panjang reguller size,celana jeans standart reguller,celana jeans standart reguller,8.0,4.0,4.0,50.0
Shopee,Pakaian Pria,JAKET POSAJA - JAKET POS AJA - JAKET BOMBER POS AJA - JAKET PARASUT POS AJA - POS INDONESIA,jaket posaja,jaket posaja jaket pos aja jaket bomber pos aja jaket parasut pos aja pos indonesia,jaket posaja jaket pos aja jaket bomber pos aja jaket parasut pos aja pos indonesia,jaket posaja jaket pos aja jaket bomber pos aja jaket parasut pos aja pos indonesia,19.0,15.0,4.0,21.1
Shopee,Pakaian Pria,Celana Panjang Pria Jeans HugoGhost Premium Slim Fit,celana jeans,celana panjang pria jeans hugoghost premium slim fit,celana jeans hugoghost slim,celana jeans hugoghost slim,8.0,4.0,4.0,50.0
Shopee,Pakaian Pria,Celana GU Relaxed Ankle Denim Pants (3 Colours),celana jeans,celana gu relaxed ankle denim pants colours,celana gu relaxed ankle denim pants colours,celana gu relaxed ankle denim pants colours,8.0,7.0,1.0,12.5
Shopee,Pakaian Pria,LA RJ-018 Ripped Sandwash Grey Slimfit Skinny Soft Jeans Stretch - Celana Panjang Pria Abu Muda Acid Abstrak,celana jeans,la rj ripped sandwash grey slimfit skinny soft jeans stretch celana panjang pria abu muda acid abstrak,la rj ripped sandwash grey slimfit skinny soft jeans stretch celana abu acid abstrak,la rj ripped sandwash grey slimfit skinny soft jeans stretch celana abu acid abstrak,18.0,14.0,4.0,22.2
Shopee,Pakaian Pria,Superego Denim Pants Baggy Graffiti Relaxed - Snow Black BG02,celana jeans,superego denim pants baggy graffiti relaxed snow black bg,superego denim pants baggy graffiti relaxed snow black bg,superego denim pants baggy graffiti relaxed snow black bg,10.0,9.0,1.0,10.0
Shopee,Pakaian Pria,LOD.DENIM - Celana Panjang Jeans Ripped Denim Skinnyfit Slimfit Stretch Premium High Quality - NEOASPHALT,celana jeans,loddenim celana panjang jeans ripped denim skinnyfit slimfit stretch premium high quality neoasphalt,loddenim celana jeans ripped denim skinnyfit slimfit stretch high quality neoasphalt,loddenim celana jeans ripped denim skinnyfit slimfit stretch high quality neoasphalt,15.0,11.0,4.0,26.7
Shopee,Pakaian Pria,celana pendek jeans pria-jeans pria standar- jeans pria non stread,celana jeans,celana pendek jeans priajeans pria standar jeans pria non stread,celana jeans priajeans jeans non stread,celana jeans priajeans jeans non stread,10.0,6.0,4.0,40.0
