Kategori,Nama Produk,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Kreativitas & Desain,CapCut Pro,capcut pro,capcut pro,capcut pro,2.0,2.0,0.0,0.0
Kreativitas & Desain,Capcut,capcut,capcut,capcut,1.0,1.0,0.0,0.0
Kreativitas & Desain,InShot,inshot,inshot,inshot,1.0,1.0,0.0,0.0
Kreativitas & Desain,FilmoraGo,filmorago,filmorago,filmorago,1.0,1.0,0.0,0.0
Kreativitas & Desain,KineMaster,kinemaster,kinemaster,master,1.0,1.0,0.0,0.0
Kreativitas & Desain,Remini,remini,remini,rini,1.0,1.0,0.0,0.0
Kreativitas & Desain,Lensa AI,lensa ai,lensa ai,lensa ai,2.0,2.0,0.0,0.0
Kreativitas & Desain,Google Photos,google photos,google photos,google photos,2.0,2.0,0.0,0.0
Kreativitas & Desain,Splice,splice,splice,splice,1.0,1.0,0.0,0.0
Kreativitas & Desain,Alight Motion,alight motion,alight motion,alight motion,2.0,2.0,0.0,0.0
Kreativitas & Desain,Alight motion,alight motion,alight motion,alight motion,2.0,2.0,0.0,0.0
Kreativitas & Desain,Beauty Plus,beauty plus,beauty,beauty,2.0,1.0,1.0,50.0
Kreativitas & Desain,Dazzcam,dazzcam,dazzcam,dazzcam,1.0,1.0,0.0,0.0
Kreativitas & Desain,Wink,wink,wink,wink,1.0,1.0,0.0,0.0
Kreativitas & Desain,Phonto,phonto,phonto,phonto,1.0,1.0,0.0,0.0
Kreativitas & Desain,Spark Post,spark post,spark post,spark post,2.0,2.0,0.0,0.0
Kreativitas & Desain,Overlay,overlay,overlay,overlay,1.0,1.0,0.0,0.0
Kreativitas & Desain,Lightricks,lightricks,lightricks,lightricks,1.0,1.0,0.0,0.0
Kreativitas & Desain,Envato Elements,envato elements,envato elements,envato elements,2.0,2.0,0.0,0.0
Kreativitas & Desain,Envato,envato,envato,envato,1.0,1.0,0.0,0.0
Kreativitas & Desain,Freepik,freepik,freepik,freepik,1.0,1.0,0.0,0.0
Kreativitas & Desain,Pngtree,pngtree,pngtree,pngtree,1.0,1.0,0.0,0.0
Kreativitas & Desain,Motion array,motion array,motion array,motion array,2.0,2.0,0.0,0.0
Kreativitas & Desain,Creative Fabrica,creative fabrica,creative fabrica,creative fabrica,2.0,2.0,0.0,0.0
Kreativitas & Desain,Pikbest,pikbest,pikbest,pikbest,1.0,1.0,0.0,0.0
Kreativitas & Desain,Lovepik,lovepik,lovepik,lovepik,1.0,1.0,0.0,0.0
Kreativitas & Desain,Slidedocs,slidedocs,slidedocs,slidedocs,1.0,1.0,0.0,0.0
Kreativitas & Desain,Rawpixel,rawpixel,rawpixel,rawpixel,1.0,1.0,0.0,0.0
Kreativitas & Desain,Vacteezy,vacteezy,vacteezy,vacteezy,1.0,1.0,0.0,0.0
Kreativitas & Desain,Adobestock,adobestock,adobestock,adobestock,1.0,1.0,0.0,0.0
Kreativitas & Desain,Istock,istock,istock,istock,1.0,1.0,0.0,0.0
Kreativitas & Desain,Shutterstock,shutterstock,shutterstock,shutterstock,1.0,1.0,0.0,0.0
Kreativitas & Desain,Figma,figma,figma,figma,1.0,1.0,0.0,0.0
Kreativitas & Desain,Marvel App,marvel app,marvel app,marvel app,2.0,2.0,0.0,0.0
Kreativitas & Desain,Sketch,sketch,sketch,sketch,1.0,1.0,0.0,0.0
Kreativitas & Desain,Kapwing Pro,kapwing pro,kapwing pro,kapwing pro,2.0,2.0,0.0,0.0
Kreativitas & Desain,Epidemic Sound,epidemic sound,epidemic sound,epidemic sound,2.0,2.0,0.0,0.0
Kreativitas & Desain,Piktochart,piktochart,piktochart,piktochart,1.0,1.0,0.0,0.0
Kreativitas & Desain,Prezi Video,prezi video,prezi video,prezi video,2.0,2.0,0.0,0.0
Kreativitas & Desain,Beautiful.ai,beautifulai,beautifulai,beautifulai,1.0,1.0,0.0,0.0
Kreativitas & Desain,Slidebean,slidebean,slidebean,slidebean,1.0,1.0,0.0,0.0
Kreativitas & Desain,Biteable,biteable,biteable,biteable,1.0,1.0,0.0,0.0
Kreativitas & Desain,Brand24,brand,,,1.0,0.0,1.0,100.0
Kreativitas & Desain,SlidesGo,slidesgo,slidesgo,slidesgo,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Netflix,netflix,netflix,netflix,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Disney+,disney,disney,disney,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),HBO Max,hbo max,hbo max,hbo max,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Apple TV+,apple tv,apple tv,apple tv,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Amazon Prime Video,amazon prime video,amazon prime video,amazon prime video,3.0,3.0,0.0,0.0
Hiburan (Streaming & Media),Amazon Prime,amazon prime,amazon prime,amazon prime,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Hulu,hulu,hulu,hulu,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Paramount+,paramount,paramount,paramount,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Peacock,peacock,peacock,peacock,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Crunchyroll,crunchyroll,crunchyroll,crunchyroll,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Crunchy Roll,crunchy roll,crunchy,crunchy,2.0,1.0,1.0,50.0
Hiburan (Streaming & Media),MUBI,mubi,mubi,mubi,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Mubi Go,mubi go,mubi go,mubi go,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Plex Pass,plex pass,plex pass,plex pass,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Plex,plex,plex,plex,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Starz,starz,starz,starz,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Showtime,showtime,showtime,showtime,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Vidio Ultimate,vidio ultimate,vidio ultimate,vidio ultimate,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Vidio Platinum,vidio platinum,vidio platinum,vidio platinum,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Vidio,vidio,vidio,vidio,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Vision+,vision,vision,vision,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),RCTI+,rcti,rcti,rcti,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),WeTv,wetv,wetv,wetv,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),YouTube,youtube,youtube,youtube,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Dramabox,dramabox,dramabox,dramabox,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Shortmax,shortmax,shortmax,shortmax,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Dramawave,dramawave,dramawave,dramawave,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Catch Play,catch play,catch play,catch play,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Drakor.id,drakorid,drakorid,drakorid,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Loklok,loklok,loklok,loklok,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Bstation,bstation,bstation,bstation,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Iflix,iflix,iflix,iflix,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Genflix,genflix,genflix,genflix,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Viu,viu,viu,viu,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Reelshort,reelshort,reelshort,reelshort,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),iQIYI,iqiyi,iqiyi,iqiyi,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Youku,youku,youku,youku,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Mola TV,mola tv,mola tv,mola tv,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Melolo,melolo,melolo,melolo,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Drama box,drama box,drama,drama,2.0,1.0,1.0,50.0
Hiburan (Streaming & Media),GagaOOlala,gagaoolala,gagaoolala,gagaoolala,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Rakuten Viki,rakuten viki,rakuten viki,rakuten viki,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Criterion Channel,criterion channel,criterion channel,criterion channel,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),BFI Player,bfi player,bfi player,bfi player,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Sundance Now,sundance now,sundance now,sundance now,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Acorn TV,acorn tv,acorn tv,acorn tv,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),AMC+,amc,amc,amc,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),BritBox,britbox,britbox,britbox,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Curiosity Stream,curiosity stream,curiosity stream,curiosity stream,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Nebula,nebula,nebula,nebula,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),ESPN+,espn,espn,espn,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),DAZN,dazn,dazn,dazn,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),WWE Network,wwe network,wwe network,wwe network,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Sony LIV,sony liv,sony liv,sony liv,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Lionsgate Play,lionsgate play,lionsgate play,lionsgate play,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Hotstar,hotstar,hotstar,hotstar,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Voot,voot,voot,voot,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Zee5,zee,zee,zee,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),ALTBalaji,altbalaji,altbalaji,altbalaji,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),MX Player,mx player,mx player,mx player,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),WeTV (Tencent),wetv tencent,wetv tencent,wetv tencent,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),PPTV,pptv,pptv,pptv,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),BiliBili,bilibili,bilibili,bilibili,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Abema,abema,abema,abema,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),TVer,tver,tver,tver,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Paravi,paravi,paravi,paravi,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Hami Video,hami video,hami video,ham video,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),KKTV,kktv,kktv,kktv,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Catchplay+,catchplay,catchplay,catchplay,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),myTV SUPER,mytv super,mytv,mytv,2.0,1.0,1.0,50.0
Hiburan (Streaming & Media),ViuTV,viutv,viutv,viutv,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),TVNZ OnDemand,tvnz ondemand,tvnz ondemand,tvnz ondemand,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),9Now,now,now,now,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),10 Play,play,play,play,2.0,1.0,1.0,50.0
Hiburan (Streaming & Media),Channel 4,channel,channel,channel,2.0,1.0,1.0,50.0
Hiburan (Streaming & Media),My5,my,my,my,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),ITVX,itvx,itvx,itvx,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),RTÉ Player,rté player,rté player,rt player,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),SVT Play,svt play,svt play,svt play,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),NRK TV,nrk tv,nrk tv,nrk tv,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),DR TV,dr tv,dr tv,dr tv,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),YLE Areena,yle areena,yle areena,yle areena,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Viaplay,viaplay,viaplay,viaplay,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),SkyShowtime,skyshowtime,skyshowtime,skyshowtime,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Nova Play,nova play,nova play,nova play,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Voyo,voyo,voyo,voyo,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Binge,binge,binge,binge,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Kayo Sports,kayo sports,kayo sports,kayo sports,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Stan,stan,stan,stan,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Flash,flash,,,1.0,0.0,1.0,100.0
Hiburan (Streaming & Media),Neon,neon,neon,neon,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),TVNZ+,tvnz,tvnz,tvnz,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Disney+ Hotstar,disney hotstar,disney hotstar,disney hotstar,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),VIU Indonesia,viu indonesia,viu indonesia,viu indonesia,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),CatchPlay,catchplay,catchplay,catchplay,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Mola,mola,mola,mola,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),KlikFilm,klikfilm,klikfilm,klikfilm,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Bioskop Online,bioskop online,bioskop,bioskop,2.0,1.0,1.0,50.0
Hiburan (Streaming & Media),MAXstream,maxstream,maxstream,maxstream,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),GoPlay,goplay,goplay,goplay,1.0,1.0,0.0,0.0
Hiburan (Streaming & Media),Netflix Lite,netflix lite,netflix lite,netflix lite,2.0,2.0,0.0,0.0
Hiburan (Streaming & Media),Prime Video Lite,prime video lite,prime video lite,prime video lite,3.0,3.0,0.0,0.0
Musik & Audio,Spotify,spotify,spotify,spotify,1.0,1.0,0.0,0.0
Musik & Audio,Apple Music,apple music,apple music,apple music,2.0,2.0,0.0,0.0
Musik & Audio,YouTube Music,youtube music,youtube music,youtube music,2.0,2.0,0.0,0.0
Musik & Audio,YouTube Premium,youtube premium,youtube,youtube,2.0,1.0,1.0,50.0
Musik & Audio,Tidal,tidal,tidal,tidal,1.0,1.0,0.0,0.0
Musik & Audio,Deezer,deezer,deezer,deezer,1.0,1.0,0.0,0.0
Musik & Audio,Joox,joox,joox,joox,1.0,1.0,0.0,0.0
Musik & Audio,Pocket Casts,pocket casts,pocket casts,pocket casts,2.0,2.0,0.0,0.0
Musik & Audio,Audible,audible,audible,audible,1.0,1.0,0.0,0.0
Musik & Audio,Twitch Turbo,twitch turbo,twitch turbo,twitch turbo,2.0,2.0,0.0,0.0
Musik & Audio,SoundCloud Go+,soundcloud go,soundcloud go,soundcloud go,2.0,2.0,0.0,0.0
Musik & Audio,Amazon Music Unlimited,amazon music unlimited,amazon music unlimited,amazon music unlimited,3.0,3.0,0.0,0.0
Musik & Audio,Qobuz,qobuz,qobuz,qobuz,1.0,1.0,0.0,0.0
Musik & Audio,Napster,napster,napster,napster,1.0,1.0,0.0,0.0
Musik & Audio,KKBOX,kkbox,kkbox,kkbox,1.0,1.0,0.0,0.0
Musik & Audio,LINE Music,line music,line music,line music,2.0,2.0,0.0,0.0
Musik & Audio,Anghami,anghami,anghami,anghami,1.0,1.0,0.0,0.0
Musik & Audio,Saavn,saavn,saavn,saavn,1.0,1.0,0.0,0.0
Musik & Audio,Gaana,gaana,gaana,gaana,1.0,1.0,0.0,0.0
Musik & Audio,Wynk Music,wynk music,wynk music,wynk music,2.0,2.0,0.0,0.0
Musik & Audio,Navgati,navgati,navgati,navgati,1.0,1.0,0.0,0.0
Musik & Audio,Hungama,hungama,hungama,hungama,1.0,1.0,0.0,0.0
Musik & Audio,Boomplay,boomplay,boomplay,boomplay,1.0,1.0,0.0,0.0
Musik & Audio,Audiomack,audiomack,audiomack,audiomack,1.0,1.0,0.0,0.0
Musik & Audio,Pandora,pandora,pandora,pandora,1.0,1.0,0.0,0.0
Musik & Audio,iHeartRadio,iheartradio,iheartradio,iheartradio,1.0,1.0,0.0,0.0
Musik & Audio,TuneIn Radio,tunein radio,tunein radio,tunein radio,2.0,2.0,0.0,0.0
Musik & Audio,Radio Garden,radio garden,radio garden,radio garden,2.0,2.0,0.0,0.0
Musik & Audio,MyTuner Radio,mytuner radio,mytuner radio,mytuner radio,2.0,2.0,0.0,0.0
Musik & Audio,Simple Radio,simple radio,simple radio,simple radio,2.0,2.0,0.0,0.0
Musik & Audio,LiveOne,liveone,liveone,liveone,1.0,1.0,0.0,0.0
Musik & Audio,AccuRadio,accuradio,accuradio,accuradio,1.0,1.0,0.0,0.0
Musik & Audio,Slacker Radio,slacker radio,slacker radio,slacker radio,2.0,2.0,0.0,0.0
Musik & Audio,VK Music,vk music,vk music,vk music,2.0,2.0,0.0,0.0
Musik & Audio,Yandex Music,yandex music,yandex music,yandex music,2.0,2.0,0.0,0.0
Musik & Audio,Zvuk,zvuk,zvuk,zvuk,1.0,1.0,0.0,0.0
Musik & Audio,Boom,boom,boom,boom,1.0,1.0,0.0,0.0
Musik & Audio,Mixcloud,mixcloud,mixcloud,mixcloud,1.0,1.0,0.0,0.0
Musik & Audio,ReverbNation,reverbnation,reverbnation,reverbnation,1.0,1.0,0.0,0.0
Musik & Audio,Presto Music,presto music,presto music,presto music,2.0,2.0,0.0,0.0
Musik & Audio,Idagio,idagio,idagio,idagio,1.0,1.0,0.0,0.0
Musik & Audio,Primephonic (Apple Music Classical),primephonic apple music classical,primephonic apple music classical,primephonic apple music classical,4.0,4.0,0.0,0.0
Musik & Audio,Sono Luminus,sono luminus,sono luminus,sono luminus,2.0,2.0,0.0,0.0
Musik & Audio,Classical Archive,classical archive,classical archive,classical archive,2.0,2.0,0.0,0.0
Musik & Audio,Naxos Music Library,naxos music library,naxos music library,naxos music library,3.0,3.0,0.0,0.0
Musik & Audio,Medici.tv,medicitv,medicitv,medicitv,1.0,1.0,0.0,0.0
Musik & Audio,Stingray Classica,stingray classica,stingray classica,stingray classica,2.0,2.0,0.0,0.0
Musik & Audio,Qello Concerts,qello concerts,qello concerts,qello concerts,2.0,2.0,0.0,0.0
Musik & Audio,Vevo,vevo,vevo,vevo,1.0,1.0,0.0,0.0
Musik & Audio,Veeps,veeps,veeps,veeps,1.0,1.0,0.0,0.0
Musik & Audio,Moment House,moment house,moment house,moment house,2.0,2.0,0.0,0.0
Musik & Audio,Mandolin,mandolin,mandolin,mandolin,1.0,1.0,0.0,0.0
Musik & Audio,Noisli,noisli,noisli,noisli,1.0,1.0,0.0,0.0
Musik & Audio,MyNoise,mynoise,mynoise,mynoise,1.0,1.0,0.0,0.0
Musik & Audio,A Soft Murmur,a soft murmur,soft murmur,soft murmur,3.0,2.0,1.0,33.3
Musik & Audio,Rainy Mood,rainy mood,rainy mood,rainy mood,2.0,2.0,0.0,0.0
Musik & Audio,Ambient Mixer,ambient mixer,ambient mixer,ambient mixer,2.0,2.0,0.0,0.0
Musik & Audio,White Noise Lite,white noise lite,white noise lite,white noise lite,3.0,3.0,0.0,0.0
Musik & Audio,Relax Melodies,relax melodies,relax melodies,relax melodies,2.0,2.0,0.0,0.0
Musik & Audio,Tide,tide,tide,tide,1.0,1.0,0.0,0.0
Musik & Audio,Sleepa,sleepa,sleepa,sleepa,1.0,1.0,0.0,0.0
Musik & Audio,BetterSleep,bettersleep,bettersleep,bettersleep,1.0,1.0,0.0,0.0
Musik & Audio,Sleep Jar,sleep jar,sleep jar,sleep jar,2.0,2.0,0.0,0.0
Musik & Audio,Nature Sounds,nature sounds,nature sounds,nature sounds,2.0,2.0,0.0,0.0
Kesehatan & Fitness,Headspace,headspace,headspace,headspace,1.0,1.0,0.0,0.0
Kesehatan & Fitness,Calm,calm,calm,calm,1.0,1.0,0.0,0.0
Kesehatan & Fitness,MyFitnessPal,myfitnesspal,myfitnesspal,myfitnesspal,1.0,1.0,0.0,0.0
Kesehatan & Fitness,Strava Premium,strava premium,strava,strava,2.0,1.0,1.0,50.0
Kesehatan & Fitness,Strava,strava,strava,strava,1.0,1.0,0.0,0.0
