Nama Produk,label,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Kenjeran Park Outbound,Entertainment,kenjeran park outbound,kenjeran park outbound,kenjeran park outbound,3.0,3.0,0.0,0.0
Kenjeran Park,Entertainment,kenjeran park,kenjeran park,kenjeran park,2.0,2.0,0.0,0.0
Surabaya North Quay,Entertainment,surabaya north quay,surabaya north quay,surabaya north quay,3.0,3.0,0.0,0.0
Edu Wisata Lontar Sewu (Hendrosari),Entertainment,edu wisata lontar sewu hendrosari,edu wisata lontar sewu hendrosari,edu wisata lontar sewu hendrosari,5.0,5.0,0.0,0.0
Taman Harmoni Keputih,Entertainment,taman harmoni keputih,harmoni keputih,harmoni putih,3.0,2.0,1.0,33.3
LaFest,Entertainment,lafest,lafest,lafest,1.0,1.0,0.0,0.0
Pakal Park,Entertainment,pakal park,pakal park,pakal park,2.0,2.0,0.0,0.0
Taman Flora Bratang Surabaya,Entertainment,taman flora bratang surabaya,flora bratang surabaya,flora bratang surabaya,4.0,3.0,1.0,25.0
Telaga Mboro Sidowungu,Entertainment,telaga mboro sidowungu,telaga mboro sidowungu,telaga mboro sidowungu,3.0,3.0,0.0,0.0
Danau Citraland,Entertainment,danau citraland,danau citraland,danau citraland,2.0,2.0,0.0,0.0
Loka Asri Park,Entertainment,loka asri park,loka park,loka park,3.0,2.0,1.0,33.3
Kebun Bibit Wonorejo,Entertainment,kebun bibit wonorejo,kebun bibit wonorejo,kebun bibit wonorejo,3.0,3.0,0.0,0.0
Bukit Ular,Entertainment,bukit ular,bukit ular,bukit ular,2.0,2.0,0.0,0.0
Notredame Adventure Park Wisata Bukit Mas 2,Entertainment,notredame adventure park wisata bukit mas,notredame adventure park wisata bukit mas,notredame adventure park wisata bukit mas,7.0,6.0,1.0,14.3
Ria Beach Kenjeran,Entertainment,ria beach kenjeran,beach kenjeran,beach kenjeran,3.0,2.0,1.0,33.3
Kebun Bibit Manyar,Entertainment,kebun bibit manyar,kebun bibit manyar,kebun bibit manyar,3.0,3.0,0.0,0.0
Alun - Alun Surabaya,Entertainment,alun alun surabaya,alun alun surabaya,alun alun surabaya,4.0,3.0,1.0,25.0
Wisata Religi Sunan Giri,Entertainment,wisata religi sunan giri,wisata religi sunan giri,wisata religi sunan giri,4.0,4.0,0.0,0.0
Park Shanghai - Pakuwon City Mall,Entertainment,park shanghai pakuwon city mall,park shanghai pakuwon city mall,park shanghai pakuwon city mall,6.0,5.0,1.0,16.7
Lesehan Legok Asri,Entertainment,lesehan legok asri,lesehan,leseh,3.0,1.0,2.0,66.7
Dynasty Water World Gresik,Entertainment,dynasty water world gresik,dynasty water world gresik,dynasty water world gresik,4.0,4.0,0.0,0.0
Waduk Hulaan,Entertainment,waduk hulaan,waduk hulaan,waduk hulaan,2.0,2.0,0.0,0.0
Blockbuster Museum Surabaya,Entertainment,blockbuster museum surabaya,blockbuster museum surabaya,blockbuster museum surabaya,3.0,3.0,0.0,0.0
Wisata Bukit Mas,Entertainment,wisata bukit mas,wisata bukit mas,wisata bukit mas,3.0,3.0,0.0,0.0
Taman Mozaik,Entertainment,taman mozaik,mozaik,mozaik,2.0,1.0,1.0,50.0
Driyorejo SkyView,Entertainment,driyorejo skyview,driyorejo skyview,driyorejo skyview,2.0,2.0,0.0,0.0
Taman Angsa,Entertainment,taman angsa,angsa,angsa,2.0,1.0,1.0,50.0
Taman Grand Harvest - Harvestory Park,Entertainment,taman grand harvest harvestory park,grand harvest harvestory park,grand harvest harvestory park,6.0,4.0,2.0,33.3
Taman Cangkruan 18,Entertainment,taman cangkruan,cangkruan,cangkruan,3.0,1.0,2.0,66.7
Monumen Jalesveva Jayamahe,Entertainment,monumen jalesveva jayamahe,monumen jalesveva jayamahe,monumen jalesveva jayamahe,3.0,3.0,0.0,0.0
Taman Cahaya,Entertainment,taman cahaya,taman cahaya,taman cahaya,2.0,1.0,1.0,50.0
G-Park Gresik,Entertainment,gpark gresik,gpark gresik,gpark gresik,2.0,2.0,0.0,0.0
Taman Paliatif,Entertainment,taman paliatif,paliatif,paliatif,2.0,1.0,1.0,50.0
Bukit Songkro Wringinanom,Entertainment,bukit songkro wringinanom,bukit songkro wringinanom,bukit songkro wringinanom,3.0,3.0,0.0,0.0
Taman Rusa Sambikerep,Entertainment,taman rusa sambikerep,rusa sambikerep,rusa sambikerep,3.0,2.0,1.0,33.3
ArekAsik Adventure,Entertainment,arekasik adventure,arekasik adventure,arekasik adventure,2.0,2.0,0.0,0.0
Taman Anggrek Sememi Surabaya,Entertainment,taman anggrek sememi surabaya,anggrek sememi surabaya,anggrek mem surabaya,4.0,3.0,1.0,25.0
Travel Parks Dawablandong,Entertainment,travel parks dawablandong,travel parks dawablandong,travel parks dawablandong,3.0,3.0,0.0,0.0
Taman Wisata INTAN ABATANI Dawarblandong,Entertainment,taman wisata intan abatani dawarblandong,wisata intan abatani dawarblandong,wisata intan abatani dawarblandong,5.0,4.0,1.0,20.0
Waduk Pucuk,Entertainment,waduk pucuk,waduk pucuk,waduk pucuk,2.0,2.0,0.0,0.0
Pantai Goa Petapa,Entertainment,pantai goa petapa,goa petapa,goa tapa,3.0,2.0,1.0,33.3
Taman Greenville,Entertainment,taman greenville,greenville,greenville,2.0,1.0,1.0,50.0
Alas Prambon,Entertainment,alas prambon,alas prambon,alas prambon,2.0,2.0,0.0,0.0
Agrowisata Sambimadu Sambibulu,Entertainment,agrowisata sambimadu sambibulu,agrowisata sambimadu sambibulu,agrowisata sambimadu sambibulu,3.0,3.0,0.0,0.0
Kusuma Tirta Minapolitan,Entertainment,kusuma tirta minapolitan,kusuma tirta minapolitan,kusuma tirta minapolitan,3.0,3.0,0.0,0.0
WISATA ALAS PRAMBON,Entertainment,wisata alas prambon,wisata alas prambon,wisata alas prambon,3.0,3.0,0.0,0.0
Jayandaru Monument,Entertainment,jayandaru monument,jayandaru monument,jayandaru monument,2.0,2.0,0.0,0.0
Citra Harmoni Water Park,Entertainment,citra harmoni water park,citra harmoni water park,citra harmoni water park,4.0,4.0,0.0,0.0
Taman Abhirama Sidoarjo,Entertainment,taman abhirama sidoarjo,abhirama sidoarjo,abhirama sidoarjo,3.0,2.0,1.0,33.3
Suncity Waterpark Sidoarjo,Entertainment,suncity waterpark sidoarjo,suncity waterpark sidoarjo,suncity waterpark sidoarjo,3.0,3.0,0.0,0.0
Taman Tandjoeng Poeri,Entertainment,taman tandjoeng poeri,tandjoeng poeri,tandjoeng poeri,3.0,2.0,1.0,33.3
Monstero Fishing Park,Entertainment,monstero fishing park,monstero fishing park,monstero fishing park,3.0,3.0,0.0,0.0
Taman Abhirupa Krian,Entertainment,taman abhirupa krian,abhirupa krian,abhirupa krian,3.0,2.0,1.0,33.3
Wisata Desa WBT,Entertainment,wisata desa wbt,wisata desa wbt,wisata desa wbt,3.0,3.0,0.0,0.0
Kolam Pancing Siap Saji,Entertainment,kolam pancing siap saji,kolam pancing saji,kolam pancing saji,4.0,3.0,1.0,25.0
Museum Mpu Tantular,Entertainment,museum mpu tantular,museum mpu tantular,museum mpu tantular,3.0,3.0,0.0,0.0
Fishing Wake Wetan travel,Entertainment,fishing wake wetan travel,fishing wake wetan travel,fishing wake wetan travel,4.0,4.0,0.0,0.0
Kampung Lali Gadget,Entertainment,kampung lali gadget,gadget,gadget,3.0,1.0,2.0,66.7
Unesa Lake Ketintang,Entertainment,unesa lake ketintang,unesa lake ketintang,unesa lake ketintang,3.0,3.0,0.0,0.0
Action Kids | Metro Outbound Organizer | Outbound Malang | Outbound Surabaya | Outbound Pandaan | Outbound Sidoarjo,Entertainment,action kids metro outbound organizer outbound malang outbound surabaya outbound pandaan outbound sidoarjo,action kids metro outbound organizer outbound outbound surabaya outbound pandaan outbound sidoarjo,action kids metro outbound organizer outbound outbound surabaya outbound pandaan outbound sidoarjo,18.0,12.0,6.0,33.3
Mangrove Wonorejo,Entertainment,mangrove wonorejo,mangrove wonorejo,mangrove wonorejo,2.0,2.0,0.0,0.0
Maha Sky Batu Angkruk,Entertainment,maha sky batu angkruk,maha sky batu angkruk,maha sky batu angkruk,4.0,4.0,0.0,0.0
Eling Bening,Entertainment,eling bening,eling bening,eling bening,2.0,2.0,0.0,0.0
Floating Tourism Ambarawa,Entertainment,floating tourism ambarawa,floating tourism ambarawa,floating tourism ambarawa,3.0,3.0,0.0,0.0
Ngrembel Asri,Entertainment,ngrembel asri,ngrembel,ngrembel,2.0,1.0,1.0,50.0
Thematic Attraction Kampung Jawi,Entertainment,thematic attraction kampung jawi,thematic attraction jawi,thematic attraction jawi,4.0,3.0,1.0,25.0
Kampung Pelangi Kalisari,Entertainment,kampung pelangi kalisari,pelangi kalisari,pelangi kalisari,3.0,2.0,1.0,33.3
Nirwana Stable,Entertainment,nirwana stable,nirwana stable,nirwana stable,2.0,2.0,0.0,0.0
Grand Maerakaca,Entertainment,grand maerakaca,grand maerakaca,grand maerakaca,2.0,2.0,0.0,0.0
Kebun Durian dan Wisata Edukasi Watu Simbar,Entertainment,kebun durian dan wisata edukasi watu simbar,kebun durian wisata edukasi watu simbar,kebun durian wisata edukasi watu simbar,7.0,6.0,1.0,14.3
Desa Wisata Lembah Kalipancur,Entertainment,desa wisata lembah kalipancur,desa wisata lembah kalipancur,desa wisata lembah kalipancur,4.0,4.0,0.0,0.0
D'Pongs Wisata Keluarga,Entertainment,dpongs wisata keluarga,dpongs wisata keluarga,dpongs wisata keluarga,3.0,3.0,0.0,0.0
Gubug Serut,Entertainment,gubug serut,gubug serut,gubug serut,2.0,2.0,0.0,0.0
Brown Canyon,Entertainment,brown canyon,brown canyon,brown canyon,2.0,2.0,0.0,0.0
Obyek Wisata Goa Kreo,Entertainment,obyek wisata goa kreo,obyek wisata goa kreo,obyek wisata goa kreo,4.0,4.0,0.0,0.0
Koetatoea,Entertainment,koetatoea,koetatoea,koetatoea,1.0,1.0,0.0,0.0
Lembah Waduk Jatibarang (eLWeJe),Entertainment,lembah waduk jatibarang elweje,lembah waduk jatibarang elweje,lembah waduk jatibarang elweje,4.0,4.0,0.0,0.0
Watu Gunung,Entertainment,watu gunung,watu gunung,watu gunung,2.0,2.0,0.0,0.0
Pantai tirang semarang,Entertainment,pantai tirang semarang,tirang semarang,tirang semarang,3.0,2.0,1.0,33.3
Dung Tungkul Meteseh,Entertainment,dung tungkul meteseh,dung tungkul meteseh,dung tungkul meteseh,3.0,3.0,0.0,0.0
Kampung Wisata Taman Lele Semarang,Entertainment,kampung wisata taman lele semarang,wisata lele semarang,wisata lele semarang,5.0,3.0,2.0,40.0
Silayur Park,Entertainment,silayur park,silayur park,silayur park,2.0,2.0,0.0,0.0
AWANNCOSTA,Entertainment,awanncosta,awanncosta,awanncosta,1.0,1.0,0.0,0.0
Mount of Prayer Gethsemane,Entertainment,mount of prayer gethsemane,mount of prayer gethsemane,mount of prayer gethsemane,4.0,4.0,0.0,0.0
Taman Rusa Graha Padma,Entertainment,taman rusa graha padma,rusa graha padma,rusa graha padma,4.0,3.0,1.0,25.0
Pantai Wisata Ngebum,Entertainment,pantai wisata ngebum,wisata ngebum,wisata ngebum,3.0,2.0,1.0,33.3
Marina Beach,Entertainment,marina beach,marina beach,marina beach,2.0,2.0,0.0,0.0
Yangkung Agro Secino,Entertainment,yangkung agro secino,yangkung agro secino,yangkung agro secino,3.0,3.0,0.0,0.0
Pekalongan regency pavilion Castle Maerokoco,Entertainment,pekalongan regency pavilion castle maerokoco,pekalongan regency pavilion castle maerokoco,kalong regency pavilion castle maerokoco,5.0,5.0,0.0,0.0
Semarang Chinatown,Entertainment,semarang chinatown,semarang chinatown,semarang chinatown,2.0,2.0,0.0,0.0
Panorama Alam,Entertainment,panorama alam,panorama alam,panorama alam,2.0,2.0,0.0,0.0
Taman Budaya Raden Saleh (TBRS),Entertainment,taman budaya raden saleh tbrs,budaya raden saleh tbrs,budaya raden saleh tbrs,5.0,4.0,1.0,20.0
Gimbal melan pantai ngebum,Entertainment,gimbal melan pantai ngebum,gimbal melan ngebum,gimbal mel ngebum,4.0,3.0,1.0,25.0
Tourism Village Kandri,Entertainment,tourism village kandri,tourism village kandri,tourism village kandri,3.0,3.0,0.0,0.0
Sampangan Park,Entertainment,sampangan park,sampangan park,sampang park,2.0,2.0,0.0,0.0
Kanal Banjir Barat,Entertainment,kanal banjir barat,kanal banjir barat,kanal banjir barat,3.0,3.0,0.0,0.0
Kota Lama Semarang,Entertainment,kota lama semarang,kota semarang,kota semarang,3.0,2.0,1.0,33.3
PURI MAEROKOCO,Entertainment,puri maerokoco,puri maerokoco,puri maerokoco,2.0,2.0,0.0,0.0
Tabanas Park Semarang,Entertainment,tabanas park semarang,tabanas park semarang,tabanas park semarang,3.0,3.0,0.0,0.0
Polder Tawang,Entertainment,polder tawang,polder tawang,polder tawang,2.0,2.0,0.0,0.0
Jungle Toon Waterpark,Entertainment,jungle toon waterpark,jungle toon waterpark,jungle toon waterpark,3.0,3.0,0.0,0.0
Goa Rong View,Entertainment,goa rong view,goa rong view,goa rong view,3.0,3.0,0.0,0.0
Saloka Theme Park,Entertainment,saloka theme park,saloka theme park,saloka theme park,3.0,3.0,0.0,0.0
Bukit Kendalisodo,Entertainment,bukit kendalisodo,bukit kendalisodo,bukit kendalisodo,2.0,2.0,0.0,0.0
Dusun Semilir,Entertainment,dusun semilir,dusun semilir,dusun milir,2.0,2.0,0.0,0.0
Dolan Sawah,Entertainment,dolan sawah,dolan sawah,dolan sawah,2.0,2.0,0.0,0.0
Puji Oriflame,Entertainment,puji oriflame,puji oriflame,puji oriflame,2.0,2.0,0.0,0.0
Hortimart Agro Center,Entertainment,hortimart agro center,hortimart agro center,hortimart agro center,3.0,3.0,0.0,0.0
Pengantin Tree Salatiga,Entertainment,pengantin tree salatiga,pengantin tree salatiga,pengantin tree salatiga,3.0,3.0,0.0,0.0
Kali Odo,Entertainment,kali odo,kali odo,kali odo,2.0,2.0,0.0,0.0
KEBUN SINGKONG DAN OUTBOND LEDOK,Entertainment,kebun singkong dan outbond ledok,kebun singkong outbond ledok,kebun singkong outbond ledok,5.0,4.0,1.0,20.0
Agrowisata Kopeng Gunungsari,Entertainment,agrowisata kopeng gunungsari,agrowisata kopeng gunungsari,agrowisata kopeng gunungsari,3.0,3.0,0.0,0.0
Senjoyo Spring,Entertainment,senjoyo spring,senjoyo spring,senjoyo spring,2.0,2.0,0.0,0.0
Desa Wisata Kemetul,Entertainment,desa wisata kemetul,desa wisata kemetul,desa wisata kemetul,3.0,3.0,0.0,0.0
Gardu Pandang Kopeng,Entertainment,gardu pandang kopeng,gardu pandang kopeng,gardu pandang kopeng,3.0,3.0,0.0,0.0
Gedong Pass (G-Pass),Entertainment,gedong pass gpass,gedong pass gpass,gedong pass gpass,3.0,3.0,0.0,0.0
Puncak Kenteng Songo 3122 MDPL,Entertainment,puncak kenteng songo mdpl,puncak kenteng songo mdpl,puncak kenteng songo mdpl,5.0,4.0,1.0,20.0
Gunung Gajah Telomoyo,Entertainment,gunung gajah telomoyo,gunung gajah telomoyo,gunung gajah telomoyo,3.0,3.0,0.0,0.0
Bukit Harapan Cuntel,Entertainment,bukit harapan cuntel,bukit harapan cuntel,bukit harap cuntel,3.0,3.0,0.0,0.0
Gunung Telomoyo Via Dalangan,Entertainment,gunung telomoyo via dalangan,gunung telomoyo via dalangan,gunung telomoyo via dalang,4.0,4.0,0.0,0.0
Merbabu Park,Entertainment,merbabu park,merbabu park,merbabu park,2.0,2.0,0.0,0.0
Awang-Awang Telomoyo,Entertainment,awangawang telomoyo,awangawang telomoyo,awangawang telomoyo,2.0,2.0,0.0,0.0
Mount Telomoyo,Entertainment,mount telomoyo,mount telomoyo,mount telomoyo,2.0,2.0,0.0,0.0
Embung Manajar,Entertainment,embung manajar,embung manajar,embung manajar,2.0,2.0,0.0,0.0
Wisata Gunung Nganten Desa Lencoh,Entertainment,wisata gunung nganten desa lencoh,wisata gunung nganten desa lencoh,wisata gunung nganten desa lencoh,5.0,5.0,0.0,0.0
Bukit serang sembung,Entertainment,bukit serang sembung,bukit serang sembung,bukit serang sembung,3.0,3.0,0.0,0.0
Bukit Gancik Selo Boyolali,Entertainment,bukit gancik selo boyolali,bukit gancik selo boyolali,bukit gancik selo boyolali,4.0,4.0,0.0,0.0
Dlingo Story,Entertainment,dlingo story,dlingo story,dlingo story,2.0,2.0,0.0,0.0
Irung Petruk (IPE),Entertainment,irung petruk ipe,irung petruk ipe,irung truk ipe,3.0,3.0,0.0,0.0
Cepogo Cheese Park,Entertainment,cepogo cheese park,cepogo cheese park,cepogo cheese park,3.0,3.0,0.0,0.0
Mina Tlatar Indah,Entertainment,mina tlatar indah,mina tlatar,mina tlatar,3.0,2.0,1.0,33.3
Tlatar Water Park,Entertainment,tlatar water park,tlatar water park,tlatar water park,3.0,3.0,0.0,0.0
"Wisata Edukasi Religi ""Qolbu"" Boyolali",Entertainment,wisata edukasi religi qolbu boyolali,wisata edukasi religi qolbu boyolali,wisata edukasi religi qolbu boyolali,5.0,5.0,0.0,0.0
Tikungan Cinta,Entertainment,tikungan cinta,tikungan cinta,tikung cinta,2.0,2.0,0.0,0.0
Spot Foto Girpasang,Entertainment,spot foto girpasang,spot foto girpasang,spot foto girpasang,3.0,3.0,0.0,0.0
Jembatan Gantung Jrakah,Entertainment,jembatan gantung jrakah,jembatan gantung jrakah,jembatan gantung jrakah,3.0,3.0,0.0,0.0
Kaliurang Park Botanical Garden,Entertainment,kaliurang park botanical garden,kaliurang park botanical garden,kaliurang park botanical garden,4.0,4.0,0.0,0.0
GERBANG MERAPI MOUNTAIN VIEW,Entertainment,gerbang merapi mountain view,gerbang merapi mountain view,gerbang rapi mountain view,4.0,4.0,0.0,0.0
Lava Merapi and Alien Stone,Entertainment,lava merapi and alien stone,lava merapi and alien stone,lava rapi and alien stone,5.0,5.0,0.0,0.0
The Lost World Farm,Entertainment,the lost world farm,the lost world farm,the lost world farm,4.0,4.0,0.0,0.0
The Lost World Castle,Entertainment,the lost world castle,the lost world castle,the lost world castle,4.0,4.0,0.0,0.0
Tourism Village Nganggring,Entertainment,tourism village nganggring,tourism village nganggring,tourism village nganggring,3.0,3.0,0.0,0.0
Ekowisata Kali Talang,Entertainment,ekowisata kali talang,ekowisata kali talang,ekowisata kali talang,3.0,3.0,0.0,0.0
Taman Konservasi Sato Loka,Entertainment,taman konservasi sato loka,konservasi sato loka,konservasi sato loka,4.0,3.0,1.0,25.0
Suraloka Interactive Zoo,Entertainment,suraloka interactive zoo,suraloka interactive zoo,suraloka interactive zoo,3.0,3.0,0.0,0.0
Tourism Village Pancoh,Entertainment,tourism village pancoh,tourism village pancoh,tourism village pancoh,3.0,3.0,0.0,0.0
Tankaman Natural Park,Entertainment,tankaman natural park,tankaman park,tankaman park,3.0,2.0,1.0,33.3
Ledok Sambi Ecopark,Entertainment,ledok sambi ecopark,ledok sambi ecopark,ledok sambi ecopark,3.0,3.0,0.0,0.0
Agro Tourism Bhumi Merapi,Entertainment,agro tourism bhumi merapi,agro tourism bhumi merapi,agro tourism bhumi rapi,4.0,4.0,0.0,0.0
Tanjung Tourism Village,Entertainment,tanjung tourism village,tanjung tourism village,tanjung tourism village,3.0,3.0,0.0,0.0
Green Kayen,Entertainment,green kayen,green kayen,green kayen,2.0,2.0,0.0,0.0
Puri Mataram,Entertainment,puri mataram,puri mataram,puri mataram,2.0,2.0,0.0,0.0
Dewa Bromo - Desa Wisata Bromonilan,Entertainment,dewa bromo desa wisata bromonilan,dewa bromo desa wisata bromonilan,dewa bromo desa wisata bromonilan,6.0,5.0,1.0,16.7
Taman Lampion,Entertainment,taman lampion,lampion,lampion,2.0,1.0,1.0,50.0
Agroedukasi Caping Merapi,Entertainment,agroedukasi caping merapi,agroedukasi caping merapi,agroedukasi caping rapi,3.0,3.0,0.0,0.0
Jogja Exotarium Mini Zoo,Entertainment,jogja exotarium mini zoo,jogja exotarium zoo,jogja exotarium zoo,4.0,3.0,1.0,25.0
Blue Lagoon Jogja,Entertainment,blue lagoon jogja,blue lagoon jogja,blue lagoon jogja,3.0,3.0,0.0,0.0
Desa Wisata Pondok Wonolelo,Entertainment,desa wisata pondok wonolelo,desa wisata pondok wonolelo,desa wisata pondok wonolelo,4.0,4.0,0.0,0.0
Embung Kaliaji,Entertainment,embung kaliaji,embung kaliaji,embung kaliaji,2.0,2.0,0.0,0.0
Ibarbo Park,Entertainment,ibarbo park,ibarbo park,ibarbo park,2.0,2.0,0.0,0.0
Taman Pelangi Jogja,Entertainment,taman pelangi jogja,pelangi jogja,pelangi jogja,3.0,2.0,1.0,33.3
Desa Palagan,Entertainment,desa palagan,desa palagan,desa palagan,2.0,2.0,0.0,0.0
Secreet zoo,Entertainment,secreet zoo,secreet zoo,secreet zoo,2.0,2.0,0.0,0.0
Ledok Gebang,Entertainment,ledok gebang,ledok gebang,ledok gebang,2.0,2.0,0.0,0.0
Titik Nol Kilometer Yogyakarta,Entertainment,titik nol kilometer yogyakarta,titik nol kilometer yogyakarta,titik nol kilometer yogyakarta,4.0,4.0,0.0,0.0
Slasar Malioboro,Entertainment,slasar malioboro,slasar malioboro,slasar malioboro,2.0,2.0,0.0,0.0
Tourism Zone Malioboro,Entertainment,tourism zone malioboro,tourism zone malioboro,tourism zone malioboro,3.0,3.0,0.0,0.0
Malioboro Yogyakarta Indonesia,Entertainment,malioboro yogyakarta indonesia,malioboro yogyakarta indonesia,malioboro yogyakarta indonesia,3.0,3.0,0.0,0.0
wisata ikan gajahwong,Entertainment,wisata ikan gajahwong,wisata ikan gajahwong,wisata ikan gajahwong,3.0,3.0,0.0,0.0
Taman Sari Tourist Village,Entertainment,taman sari tourist village,sari tourist village,sari tourist village,4.0,3.0,1.0,25.0
SKE CITY PARK,Entertainment,ske city park,ske city park,ske city park,3.0,3.0,0.0,0.0
Jogja Walking Tour | Jogja Good Guide,Entertainment,jogja walking tour jogja good guide,jogja walking tour jogja good guide,jogja walking tour jogja good guide,7.0,6.0,1.0,14.3
Gerbang Banyu Langit,Entertainment,gerbang banyu langit,gerbang banyu langit,gerbang banyu langit,3.0,3.0,0.0,0.0
Wisata Kali Gajah Wong Mrican Giwangan,Entertainment,wisata kali gajah wong mrican giwangan,wisata kali gajah mrican giwangan,wisata kali gajah mrican giwang,6.0,5.0,1.0,16.7
Tugu Yogyakarta Monument,Entertainment,tugu yogyakarta monument,tugu yogyakarta monument,tugu yogyakarta monument,3.0,3.0,0.0,0.0
Embung Langensari,Entertainment,embung langensari,embung langensari,embung langensari,2.0,2.0,0.0,0.0
Bukit Panguk Kediwung,Entertainment,bukit panguk kediwung,bukit panguk kediwung,bukit panguk kediwung,3.0,3.0,0.0,0.0
Bukit Bintang,Entertainment,bukit bintang,bukit bintang,bukit bintang,2.0,2.0,0.0,0.0
Puncak Gebang,Entertainment,puncak gebang,puncak gebang,puncak gebang,2.0,2.0,0.0,0.0
Bukit Tompak,Entertainment,bukit tompak,bukit tompak,bukit tompak,2.0,2.0,0.0,0.0
puncak bucu,Entertainment,puncak bucu,puncak bucu,puncak bucu,2.0,2.0,0.0,0.0
Watu Amben Stone Park,Entertainment,watu amben stone park,watu amben stone park,watu amben stone park,4.0,4.0,0.0,0.0
Tegaldowo Puspa Gading Park,Entertainment,tegaldowo puspa gading park,tegaldowo puspa gading park,tegaldowo puspa gading park,4.0,4.0,0.0,0.0
Goa Selarong,Entertainment,goa selarong,goa selarong,goa selarong,2.0,2.0,0.0,0.0
TWM ( Tebing Watu Mabur ),Entertainment,twm tebing watu mabur,twm tebing watu mabur,twm tebing watu mabur,6.0,4.0,2.0,33.3
Watu Goyang,Entertainment,watu goyang,watu goyang,watu goyang,2.0,2.0,0.0,0.0
Desa Wisata Kaki Langit,Entertainment,desa wisata kaki langit,desa wisata kaki langit,desa wisata kaki langit,4.0,4.0,0.0,0.0
Gunung Ireng,Entertainment,gunung ireng,gunung ireng,gunung ireng,2.0,2.0,0.0,0.0
Jurang Tembelan Kanigoro,Entertainment,jurang tembelan kanigoro,jurang tembelan kanigoro,jurang tembel kanigoro,3.0,3.0,0.0,0.0
Camping ground parangan,Entertainment,camping ground parangan,ground parangan,ground parang,3.0,2.0,1.0,33.3
Selopamioro Adventure Park,Entertainment,selopamioro adventure park,selopamioro adventure park,selopamioro adventure park,3.0,3.0,0.0,0.0
Watu Mabur Lemahbang Rock Cliff,Entertainment,watu mabur lemahbang rock cliff,watu mabur lemahbang rock cliff,watu mabur lemahbang rock cliff,5.0,5.0,0.0,0.0
Kedung Parangan,Entertainment,kedung parangan,kedung parangan,kedung parang,2.0,2.0,0.0,0.0
Benteng Mataram Park,Entertainment,benteng mataram park,benteng mataram park,benteng mataram park,3.0,3.0,0.0,0.0
Watu Gagak Hills,Entertainment,watu gagak hills,watu gagak hills,watu gagak hills,3.0,3.0,0.0,0.0
Lembah Oya Kedungjati,Entertainment,lembah oya kedungjati,lembah oya kedungjati,lembah oya kedungjati,3.0,3.0,0.0,0.0
Becici Peak,Entertainment,becici peak,becici peak,becici peak,2.0,2.0,0.0,0.0
Karangtengah Tourism Village,Entertainment,karangtengah tourism village,karangtengah tourism village,karangtengah tourism village,3.0,3.0,0.0,0.0
Seribu Batu Songgo Langit,Entertainment,seribu batu songgo langit,seribu batu songgo langit,ribu batu songgo langit,4.0,4.0,0.0,0.0
Geoforest Watu Payung Turunan,Entertainment,geoforest watu payung turunan,geoforest watu payung turunan,geoforest watu payung turun,4.0,4.0,0.0,0.0
Air Terjun LEPO Dlingo,Entertainment,air terjun lepo dlingo,air terjun lepo dlingo,air terjun lepo dlingo,4.0,4.0,0.0,0.0
Goa Rancang Kencono,Entertainment,goa rancang kencono,goa rancang kencono,goa rancang kencono,3.0,3.0,0.0,0.0
